run_id,recipe_key,family,multiplier,seed,target_relative,client_id,is_malicious,asr_std_filtered,asr_unfiltered,n_eligible,n_total,acc,n_acc_samples
attack_a0.5_s0_e1b_persist_s0,shuffled|4|1,shuffled,4.0,1,0.624,0,False,0.0041841004184100415,0.008,239,250,0.164,250
attack_a0.5_s0_e1b_persist_s0,shuffled|4|2,shuffled,4.0,2,0.624,0,False,0.008368200836820083,0.008,239,250,0.144,250
attack_a0.5_s0_e1b_persist_s0,sign_flipped|0.5|0,sign_flipped,0.5,0,0.078,0,False,0.26778242677824265,0.288,239,250,0.872,250
attack_a0.5_s0_e1b_persist_s0,sign_flipped|0.5|1,sign_flipped,0.5,1,0.078,0,False,0.23430962343096234,0.256,239,250,0.88,250
attack_a0.5_s0_e1b_persist_s0,sign_flipped|0.5|2,sign_flipped,0.5,2,0.078,0,False,0.22594142259414227,0.248,239,250,0.876,250
attack_a0.5_s0_e1b_persist_s0,sign_flipped|1|0,sign_flipped,1.0,0,0.156,0,False,0.28451882845188287,0.3,239,250,0.876,250
attack_a0.5_s0_e1b_persist_s0,sign_flipped|1|1,sign_flipped,1.0,1,0.156,0,False,0.24267782426778242,0.256,239,250,0.868,250
attack_a0.5_s0_e1b_persist_s0,sign_flipped|1|2,sign_flipped,1.0,2,0.156,0,False,0.2301255230125523,0.248,239,250,0.884,250
attack_a0.5_s0_e1b_persist_s0,sign_flipped|2|0,sign_flipped,2.0,0,0.312,0,False,0.3891213389121339,0.396,239,250,0.844,250
attack_a0.5_s0_e1b_persist_s0,sign_flipped|2|1,sign_flipped,2.0,1,0.312,0,False,0.22594142259414227,0.24,239,250,0.832,250
attack_a0.5_s0_e1b_persist_s0,sign_flipped|2|2,sign_flipped,2.0,2,0.312,0,False,0.20920502092050208,0.228,239,250,0.856,250
attack_a0.5_s0_e1b_persist_s0,sign_flipped|4|0,sign_flipped,4.0,0,0.624,0,False,0.22594142259414227,0.216,239,250,0.472,250
attack_a0.5_s0_e1b_persist_s0,sign_flipped|4|1,sign_flipped,4.0,1,0.624,0,False,0.1799163179916318,0.192,239,250,0.44,250
attack_a0.5_s0_e1b_persist_s0,sign_flipped|4|2,sign_flipped,4.0,2,0.624,0,False,0.0794979079497908,0.08,239,250,0.664,250
attack_a0.5_s0_e1b_persist_s0,real|0.5|0,real,0.5,0,0.078,0,False,0.029288702928870293,0.036,239,250,0.852,250
attack_a0.5_s0_e1b_persist_s0,real|1|0,real,1.0,0,0.156,0,False,0.0041841004184100415,0.004,239,250,0.768,250
attack_a0.5_s0_e1b_persist_s0,real|2|0,real,2.0,0,0.312,0,False,0.0,0.0,239,250,0.572,250
attack_a0.5_s0_e1b_persist_s0,real|4|0,real,4.0,0,0.624,0,False,0.0,0.0,239,250,0.048,250
attack_a0.5_s0_e1b_persist_s0,zero|0|0,zero,0.0,0,0.0,1,False,0.5220883534136547,0.524,249,250,0.9,250
attack_a0.5_s0_e1b_persist_s0,gaussian_global|0.5|0,gaussian_global,0.5,0,0.078,1,False,0.5421686746987951,0.544,249,250,0.896,250
attack_a0.5_s0_e1b_persist_s0,gaussian_global|0.5|1,gaussian_global,0.5,1,0.078,1,False,0.5301204819277109,0.532,249,250,0.912,250
attack_a0.5_s0_e1b_persist_s0,gaussian_global|0.5|2,gaussian_global,0.5,2,0.078,1,False,0.5381526104417671,0.54,249,250,0.892,250
attack_a0.5_s0_e1b_persist_s0,gaussian_global|1|0,gaussian_global,1.0,0,0.156,1,False,0.5341365461847389,0.536,249,250,0.904,250
