run_id,recipe_key,family,multiplier,seed,target_relative,achieved_relative_displacement,cos_with_real_drift,cos_with_theta,layer_profile_max_rel_dev,n_clients,asr,asr_unfiltered,acc
attack_a0.5_s0_e1b_persist_s0,zero|0|0,zero,0.0,0,0.0,0.0,nan,nan,nan,36,0.36368519704363167,0.40144444444444444,0.8242222222222222
attack_a0.5_s0_e1b_persist_s0,gaussian_global|0.5|0,gaussian_global,0.5,0,0.078,0.07799999999999965,0.00014656809080428713,0.0005598011129090752,2.802387156824061,36,0.37423496377344434,0.4115555555555555,0.8246666666666669
attack_a0.5_s0_e1b_persist_s0,gaussian_global|0.5|1,gaussian_global,0.5,1,0.078,0.07800000000000056,-4.9060991877904403e-05,0.00017663669908306236,2.805100053441957,36,0.36196007208998154,0.39977777777777773,0.8248888888888888
attack_a0.5_s0_e1b_persist_s0,gaussian_global|0.5|2,gaussian_global,0.5,2,0.078,0.07800000000000004,0.000547888356654019,0.0003077062023746098,2.800435849270778,36,0.36372417537751794,0.4017777777777777,0.8245555555555555
attack_a0.5_s0_e1b_persist_s0,gaussian_layer_matched|0.5|0,gaussian_layer_matched,0.5,0,0.078,0.07799999999999961,0.000672170461148599,0.0008459616459744692,3.82804898890754e-13,36,0.3737080835887975,0.4101111111111112,0.8210000000000001
attack_a0.5_s0_e1b_persist_s0,gaussian_layer_matched|0.5|1,gaussian_layer_matched,0.5,1,0.078,0.0780000000000004,0.0005353650725631263,0.0006042750673871171,3.856914787547794e-13,36,0.3798198880919753,0.4168888888888889,0.8238888888888889
attack_a0.5_s0_e1b_persist_s0,gaussian_layer_matched|0.5|2,gaussian_layer_matched,0.5,2,0.078,0.07799999999999997,0.0013144346713715679,0.0012215755198221043,3.856914787547794e-13,36,0.3724681269974746,0.41033333333333327,0.8222222222222224
attack_a0.5_s0_e1b_persist_s0,real|0.5|0,real,0.5,0,0.078,0.0779999999999701,0.9999999999995992,0.15141759665844431,6.354916592954396e-13,36,0.05530300590629076,0.07777777777777778,0.7772222222222223
attack_a0.5_s0_e1b_persist_s0,shuffled|0.5|0,shuffled,0.5,0,0.078,0.07799999999997015,0.0007488870151259614,1.1609397910941176e-05,6.31050767196939e-13,36,0.32072890145517935,0.3633333333333333,0.8137777777777777
attack_a0.5_s0_e1b_persist_s0,shuffled|0.5|1,shuffled,0.5,1,0.078,0.07799999999996995,0.0016240417897467434,0.0005062122535973837,6.290523657526137e-13,36,0.30618524394922386,0.34888888888888897,0.8181111111111111
attack_a0.5_s0_e1b_persist_s0,shuffled|0.5|2,shuffled,0.5,2,0.078,0.07799999999996975,0.0008899827492347895,6.2944299576566136e-06,6.31494856406789e-13,36,0.32364481752831403,0.36444444444444446,0.8165555555555555
attack_a0.5_s0_e1b_persist_s0,sign_flipped|0.5|0,sign_flipped,0.5,0,0.078,0.0779999999999701,-0.000862378432442107,-0.0010312098219104567,6.354916592954396e-13,36,0.3786664782667976,0.41455555555555557,0.8214444444444443
attack_a0.5_s0_e1b_persist_s0,sign_flipped|0.5|1,sign_flipped,0.5,1,0.078,0.0779999999999701,0.0009532133335160047,0.0003552344605262003,6.354916592954396e-13,36,0.35202924061647367,0.3902222222222222,0.8224444444444445
attack_a0.5_s0_e1b_persist_s0,sign_flipped|0.5|2,sign_flipped,0.5,2,0.078,0.0779999999999701,0.0005232603512648119,0.00048104862360637165,6.354916592954396e-13,36,0.3492403453810144,0.3868888888888889,0.8235555555555556
attack_a0.5_s0_e1b_persist_s0,gaussian_global|1|0,gaussian_global,1.0,0,0.156,0.1559999999999993,0.00014656809080428713,0.0005598011129090752,2.802387156824061,36,0.3880105131715937,0.4241111111111111,0.8225555555555555
