family,multiplier,seed,target_relative,achieved_relative_displacement,l2_perturbation,cos_with_real_drift,cos_with_theta,layer_profile_max_rel_dev,n_layers
zero,0.0,0,0.0,0.0,0.0,nan,nan,nan,21
gaussian_global,0.5,0,0.078,0.07799999999999965,3.374024266405861,0.00014656809080428713,0.0005598011129090752,2.802387156824061,21
gaussian_global,0.5,1,0.078,0.07800000000000056,3.3740242664059,-4.9060991877904403e-05,0.00017663669908306236,2.805100053441957,21
gaussian_global,0.5,2,0.078,0.07800000000000004,3.3740242664058777,0.000547888356654019,0.0003077062023746098,2.800435849270778,21
gaussian_global,1.0,0,0.156,0.1559999999999993,6.748048532811722,0.00014656809080428713,0.0005598011129090752,2.802387156824061,21
gaussian_global,1.0,1,0.156,0.1560000000000011,6.7480485328118,-4.9060991877904403e-05,0.00017663669908306236,2.805100053441957,21
gaussian_global,1.0,2,0.156,0.15600000000000008,6.748048532811755,0.000547888356654019,0.0003077062023746098,2.800435849270778,21
gaussian_global,2.0,0,0.312,0.3119999999999986,13.496097065623443,0.00014656809080428713,0.0005598011129090752,2.802387156824061,21
gaussian_global,2.0,1,0.312,0.3120000000000022,13.4960970656236,-4.9060991877904403e-05,0.00017663669908306236,2.805100053441957,21
gaussian_global,2.0,2,0.312,0.31200000000000017,13.49609706562351,0.000547888356654019,0.0003077062023746098,2.800435849270778,21
gaussian_global,4.0,0,0.624,0.6239999999999972,26.992194131246887,0.00014656809080428713,0.0005598011129090752,2.802387156824061,21
gaussian_global,4.0,1,0.624,0.6240000000000044,26.9921941312472,-4.9060991877904403e-05,0.00017663669908306236,2.805100053441957,21
gaussian_global,4.0,2,0.624,0.6240000000000003,26.99219413124702,0.000547888356654019,0.0003077062023746098,2.800435849270778,21
gaussian_layer_matched,0.5,0,0.078,0.07799999999999961,3.374024266405859,0.000672170461148599,0.0008459616459744692,3.82804898890754e-13,21
gaussian_layer_matched,0.5,1,0.078,0.0780000000000004,3.3740242664058937,0.0005353650725631263,0.0006042750673871171,3.856914787547794e-13,21
gaussian_layer_matched,0.5,2,0.078,0.07799999999999997,3.374024266405875,0.0013144346713715679,0.0012215755198221043,3.856914787547794e-13,21
gaussian_layer_matched,1.0,0,0.156,0.15599999999999922,6.748048532811718,0.000672170461148599,0.0008459616459744692,3.82804898890754e-13,21
gaussian_layer_matched,1.0,1,0.156,0.1560000000000008,6.748048532811787,0.0005353650725631263,0.0006042750673871171,3.856914787547794e-13,21
gaussian_layer_matched,1.0,2,0.156,0.15599999999999994,6.74804853281175,0.0013144346713715679,0.0012215755198221043,3.856914787547794e-13,21
gaussian_layer_matched,2.0,0,0.312,0.31199999999999845,13.496097065623436,0.000672170461148599,0.0008459616459744692,3.82804898890754e-13,21
gaussian_layer_matched,2.0,1,0.312,0.3120000000000016,13.496097065623575,0.0005353650725631263,0.0006042750673871171,3.856914787547794e-13,21
gaussian_layer_matched,2.0,2,0.312,0.3119999999999999,13.4960970656235,0.0013144346713715679,0.0012215755198221043,3.856914787547794e-13,21
gaussian_layer_matched,4.0,0,0.624,0.6239999999999969,26.992194131246873,0.000672170461148599,0.0008459616459744692,3.82804898890754e-13,21
gaussian_layer_matched,4.0,1,0.624,0.6240000000000032,26.99219413124715,0.0005353650725631263,0.0006042750673871171,3.856914787547794e-13,21
gaussian_layer_matched,4.0,2,0.624,0.6239999999999998,26.992194131247,0.0013144346713715679,0.0012215755198221043,3.856914787547794e-13,21
shuffled,0.5,0,0.078,0.07799999999997015,3.374024266404585,0.0007488870151259614,1.1609397910941176e-05,6.31050767196939e-13,21
shuffled,0.5,1,0.078,0.07799999999996995,3.3740242664045765,0.0016240417897467434,0.0005062122535973837,6.290523657526137e-13,21
