round,defense,seed,bad_client_num,client_id,is_malicious,participated_this_round,acc,mta,clean_loss,acc_target_class,asr_targeted,asr_unfiltered,asr_paper,asr_paper_frozen
10,fedavg,0,10,0,False,False,0.26483762597984317,0.237,3.5501215209960937,0.004672897196261682,0.0,0.0005,0.0,
10,fedavg,0,10,1,False,False,0.003919372900335949,0.101,2.302078918457031,0.9112149532710281,0.9316909294512878,0.8805,0.9479166666666666,
10,fedavg,0,10,2,False,False,0.1578947368421053,0.176,3.1182867736816404,0.32710280373831774,0.03135498320268757,0.051,0.07291666666666667,
10,fedavg,0,10,3,False,False,0.2827547592385219,0.2525,3.130008575439453,0.0,0.0,0.0,0.0,
10,fedavg,0,10,4,False,False,0.1243001119820829,0.1115,2.302261276245117,0.004672897196261682,0.06326987681970885,0.0565,0.020833333333333332,
10,fedavg,0,10,5,False,True,0.22452407614781633,0.2075,3.9959156188964844,0.06542056074766354,0.026875699888017916,0.0265,0.020833333333333332,
10,fedavg,0,10,6,False,False,0.22172452407614784,0.2015,2.907073486328125,0.03271028037383177,0.0,0.001,0.010416666666666666,
10,fedavg,0,10,9,False,False,0.2872340425531915,0.2565,3.6467021484375,0.0,0.0,0.0,0.0,
10,fedavg,0,10,10,False,False,0.19540873460246355,0.1955,3.0907550048828125,0.19626168224299065,0.03919372900335946,0.05,0.03125,
10,fedavg,0,10,11,False,False,0.21164613661814113,0.189,2.9542059326171874,0.0,0.0,0.0,0.0,
10,fedavg,0,10,7,True,False,0.15341545352743557,0.151,2.569159637451172,0.1308411214953271,0.09126539753639418,0.0855,0.03125,
10,fedavg,0,10,8,True,False,0.11758118701007836,0.105,2.3022007598876955,0.0,0.0,0.0,0.0,
10,fedavg,0,10,30,True,False,0.13829787234042556,0.1575,2.7249046325683595,0.3177570093457944,0.35106382978723405,0.333,0.2708333333333333,
10,fedavg,0,10,33,True,False,0.09966405375139975,0.0925,3.1911234436035154,0.03271028037383177,0.509518477043673,0.4595,0.6770833333333334,
10,fedavg,0,10,54,True,False,0.17693169092945127,0.2315,2.838809997558594,0.6869158878504673,0.9059350503919373,0.8915,0.9583333333333334,
10,fedavg,0,10,56,True,False,0.17581187010078392,0.23,2.8616929626464844,0.6822429906542056,0.551511758118701,0.5575,0.46875,
10,fedavg,0,10,61,True,True,0.16125419932810747,0.177,2.7715337524414063,0.308411214953271,0.6998880179171333,0.6605,0.8229166666666666,
10,fedavg,0,10,63,True,False,0.1970884658454647,0.181,4.233525573730469,0.04672897196261682,0.10582306830907055,0.0955,0.125,
10,fedavg,0,10,65,True,False,0.1500559910414334,0.201,2.382754913330078,0.6261682242990654,0.3997760358342665,0.409,0.3645833333333333,
10,fedavg,0,10,98,True,False,0.14053751399776038,0.1645,3.372191680908203,0.3644859813084112,0.6825307950727884,0.645,0.375,
20,fedavg,0,10,0,False,False,0.26483762597984317,0.237,3.5501215209960937,0.004672897196261682,0.0,0.0005,0.0,
20,fedavg,0,10,1,False,False,0.003919372900335949,0.101,2.302078918457031,0.9112149532710281,0.9574468085106383,0.917,0.96875,
20,fedavg,0,10,2,False,False,0.1606942889137738,0.2045,3.697871795654297,0.5700934579439252,0.12094064949608063,0.1505,0.10416666666666667,
20,fedavg,0,10,3,False,False,0.2458006718924972,0.2195,3.947042907714844,0.0,0.0,0.0,0.0,
20,fedavg,0,10,4,False,False,0.1243001119820829,0.1115,2.302261276245117,0.004672897196261682,0.05431131019036954,0.0485,0.010416666666666666,
20,fedavg,0,10,5,False,False,0.19764837625979848,0.178,3.1442835998535155,0.014018691588785047,0.0011198208286674132,0.0015,0.0,
20,fedavg,0,10,6,False,False,0.1786114221724524,0.162,4.485414855957031,0.02336448598130841,0.007278835386338186,0.007,0.010416666666666666,
20,fedavg,0,10,9,False,False,0.2872340425531915,0.2565,3.6467021484375,0.0,0.0,0.0,0.0,
20,fedavg,0,10,10,False,False,0.19540873460246355,0.1955,3.0907550048828125,0.19626168224299065,0.04143337066069429,0.052,0.03125,
20,fedavg,0,10,11,False,False,0.28163493840985443,0.2515,2.4705892791748045,0.0,0.0,0.0,0.0,
20,fedavg,0,10,7,True,False,0.15341545352743557,0.151,2.569159637451172,0.1308411214953271,0.09070548712206047,0.0845,0.03125,
20,fedavg,0,10,8,True,False,0.2334826427771557,0.255,2.619247528076172,0.43457943925233644,0.9585666293393057,0.931,0.9166666666666666,
20,fedavg,0,10,30,True,False,0.2122060470324748,0.239,2.6153015289306643,0.46261682242990654,0.9613661814109743,0.9465,1.0,
20,fedavg,0,10,33,True,False,0.3292273236282195,0.333,2.3264412078857424,0.3644859813084112,0.6058230683090705,0.5835,0.59375,
20,fedavg,0,10,54,True,False,0.07726763717805152,0.171,3.220754119873047,0.9532710280373832,0.9591265397536394,0.9615,0.9583333333333334,
20,fedavg,0,10,56,True,True,0.08622620380739077,0.178,3.880363983154297,0.9439252336448598,0.9994400895856663,0.9995,1.0,
20,fedavg,0,10,61,True,False,0.0828667413213886,0.1375,3.5850164794921877,0.5934579439252337,0.973124300111982,0.959,0.9583333333333334,
20,fedavg,0,10,63,True,False,0.1970884658454647,0.181,4.233525573730469,0.04672897196261682,0.10414333706606943,0.094,0.08333333333333333,
20,fedavg,0,10,65,True,False,0.17245240761478164,0.154,4.030336486816406,0.0,0.3460246360582307,0.311,0.71875,
20,fedavg,0,10,98,True,False,0.2693169092945129,0.246,2.2382347106933596,0.0514018691588785,0.9983202687569989,0.9835,1.0,
30,fedavg,0,10,0,False,False,0.26483762597984317,0.237,3.5501215209960937,0.004672897196261682,0.0,0.0005,0.0,
30,fedavg,0,10,1,False,False,0.33090705487122063,0.343,2.0975869140625,0.4439252336448598,0.051511758118701005,0.0695,0.08333333333333333,
30,fedavg,0,10,2,False,False,0.1606942889137738,0.2045,3.697871795654297,0.5700934579439252,0.12038073908174692,0.1495,0.11458333333333333,
30,fedavg,0,10,3,False,False,0.23236282194848823,0.2075,5.014042663574219,0.0,0.0,0.0,0.0,
30,fedavg,0,10,4,False,False,0.1243001119820829,0.1115,2.302261276245117,0.004672897196261682,0.07222844344904815,0.0645,0.020833333333333332,
30,fedavg,0,10,5,False,False,0.37737961926091823,0.395,1.8149032135009766,0.5420560747663551,0.06998880179171332,0.0785,0.041666666666666664,
30,fedavg,0,10,6,False,False,0.1786114221724524,0.162,4.485414855957031,0.02336448598130841,0.007278835386338186,0.007,0.010416666666666666,
30,fedavg,0,10,9,False,False,0.2872340425531915,0.2565,3.6467021484375,0.0,0.0,0.0,0.0,
30,fedavg,0,10,10,False,False,0.32194848824188127,0.336,2.056291534423828,0.4532710280373832,0.018477043673012318,0.051,0.020833333333333332,
30,fedavg,0,10,11,False,False,0.2793952967525196,0.2495,3.0939766845703125,0.0,0.0,0.0,0.0,
30,fedavg,0,10,7,True,False,0.2821948488241881,0.2565,2.225900955200195,0.04205607476635514,1.0,0.9975,0.9791666666666666,
30,fedavg,0,10,8,True,False,0.35386338185890254,0.336,2.7875196533203126,0.18691588785046728,0.996080627099664,0.996,1.0,
30,fedavg,0,10,30,True,False,0.3191489361702128,0.299,2.3650641326904296,0.1308411214953271,0.9972004479283315,0.994,1.0,
30,fedavg,0,10,33,True,False,0.18589025755879063,0.1725,3.5169146118164063,0.06074766355140187,0.8852183650615901,0.833,0.9270833333333334,
30,fedavg,0,10,54,True,False,0.2564389697648376,0.229,4.362109893798828,0.0,0.9664053751399776,0.9315,0.875,
30,fedavg,0,10,56,True,False,0.20548712206047037,0.2775,3.120522491455078,0.8785046728971962,0.9955207166853304,0.994,1.0,
30,fedavg,0,10,61,True,False,0.32250839865621506,0.2885,3.2022342224121094,0.004672897196261682,0.9932810750279956,0.935,0.8958333333333334,
30,fedavg,0,10,63,True,False,0.1970884658454647,0.181,4.233525573730469,0.04672897196261682,0.08342665173572228,0.075,0.07291666666666667,
30,fedavg,0,10,65,True,False,0.34602463605823064,0.318,2.69694677734375,0.08411214953271028,0.9988801791713325,0.997,1.0,
30,fedavg,0,10,98,True,False,0.22508398656215,0.2235,2.4156783752441404,0.2102803738317757,1.0,0.9995,1.0,
40,fedavg,0,10,0,False,False,0.3964165733482643,0.3555,2.335116516113281,0.014018691588785047,0.0005599104143337066,0.0015,0.0,
40,fedavg,0,10,1,False,False,0.33090705487122063,0.343,2.0975869140625,0.4439252336448598,0.051511758118701005,0.0695,0.0625,
40,fedavg,0,10,2,False,False,0.24804031354983203,0.252,3.1494932861328127,0.2850467289719626,0.024076147816349383,0.0345,0.052083333333333336,
40,fedavg,0,10,3,False,False,0.32194848824188127,0.2875,3.7565625915527345,0.0,0.0,0.0,0.0,
40,fedavg,0,10,4,False,True,0.19484882418812988,0.266,2.628020751953125,0.8598130841121495,0.39529675251959684,0.437,0.5520833333333334,
40,fedavg,0,10,5,False,False,0.31187010078387456,0.295,2.3247392120361328,0.1542056074766355,0.008958566629339306,0.012,0.010416666666666666,
40,fedavg,0,10,6,False,False,0.17189249720044797,0.1535,6.278099487304687,0.0,0.0,0.0,0.0,
40,fedavg,0,10,9,False,False,0.2872340425531915,0.2565,3.6467021484375,0.0,0.0,0.0,0.0,
40,fedavg,0,10,10,False,False,0.32530795072788354,0.335,2.1632308044433595,0.4158878504672897,0.10862262038073908,0.139,0.08333333333333333,
40,fedavg,0,10,11,False,False,0.35666293393057114,0.319,2.463323165893555,0.004672897196261682,0.0,0.0,0.0,
