round,defense,seed,bad_client_num,client_id,is_malicious,participated_this_round,acc,mta,clean_loss,acc_target_class,asr_targeted,asr_unfiltered,asr_paper,asr_paper_frozen
2,fedavg,0,4,0,False,False,0.11310190369540873,0.101,2.303148483276367,0.0,0.0,0.0,0.0,
2,fedavg,0,4,1,False,False,0.003919372900335949,0.101,2.302078918457031,0.9112149532710281,0.9356103023516238,0.887,0.9583333333333334,
2,fedavg,0,4,2,False,False,0.11310190369540873,0.101,2.3029470672607424,0.0,0.0,0.0,0.0,
2,fedavg,0,4,3,False,False,0.0,0.107,2.3027999572753908,1.0,1.0,1.0,1.0,
2,fedavg,0,4,4,False,False,0.1243001119820829,0.1115,2.302261276245117,0.004672897196261682,0.055431131019036954,0.0495,0.020833333333333332,
2,fedavg,0,4,5,False,True,0.10694288913773797,0.1565,2.576452819824219,0.5700934579439252,0.22788353863381858,0.2545,0.14583333333333334,
2,fedavg,0,4,6,False,False,0.11310190369540873,0.101,2.3035677795410154,0.0,0.0,0.0,0.0,
2,fedavg,0,4,7,False,False,0.11534154535274355,0.103,2.303795593261719,0.0,0.0,0.0,0.0,
2,fedavg,0,4,8,False,False,0.11758118701007836,0.105,2.3022007598876955,0.0,0.0,0.0,0.0,
2,fedavg,0,4,9,False,False,0.09966405375139975,0.089,2.3027066345214844,0.0,0.0,0.0,0.0,
2,fedavg,0,4,33,True,False,0.0,0.107,2.3029324340820314,1.0,1.0,1.0,1.0,
2,fedavg,0,4,54,True,False,0.11310190369540873,0.101,2.303069854736328,0.0,0.0,0.0,0.0,
2,fedavg,0,4,56,True,False,0.04255319148936165,0.1325,2.3021236724853518,0.883177570093458,0.6886898096304591,0.654,0.7291666666666666,
2,fedavg,0,4,98,True,False,0.21052631578947367,0.1905,2.6471190185546876,0.02336448598130841,0.0016797312430011197,0.002,0.0,
4,fedavg,0,4,0,False,False,0.11310190369540873,0.101,2.303148483276367,0.0,0.0,0.0,0.0,
