round,defense,seed,bad_client_num,client_id,is_malicious,participated_this_round,acc,mta,clean_loss,acc_target_class,asr_targeted,asr_unfiltered,asr_paper,asr_paper_frozen
2,fedavg,0,4,0,False,False,0.11310190369540873,0.101,2.303148483276367,0.0,0.0,0.0,0.0,
2,fedavg,0,4,1,False,False,0.003919372900335949,0.101,2.302078918457031,0.9112149532710281,0.9384098544232923,0.89,0.9583333333333334,
2,fedavg,0,4,2,False,False,0.11310190369540873,0.101,2.3029470672607424,0.0,0.0,0.0,0.0,
2,fedavg,0,4,3,False,False,0.0,0.107,2.3027999572753908,1.0,1.0,1.0,1.0,
2,fedavg,0,4,4,False,False,0.1243001119820829,0.1115,2.302261276245117,0.004672897196261682,0.055991041433370664,0.05,0.020833333333333332,
2,fedavg,0,4,5,False,True,0.20156774916013442,0.18,2.9339884643554686,0.0,0.0,0.0,0.0,
2,fedavg,0,4,6,False,False,0.11310190369540873,0.101,2.3035677795410154,0.0,0.0,0.0,0.0,
2,fedavg,0,4,7,False,False,0.11534154535274355,0.103,2.303795593261719,0.0,0.0,0.0,0.0,
2,fedavg,0,4,8,False,False,0.11758118701007836,0.105,2.3022007598876955,0.0,0.0,0.0,0.0,
2,fedavg,0,4,9,False,False,0.09966405375139975,0.089,2.3027066345214844,0.0,0.0,0.0,0.0,
2,fedavg,0,4,33,True,False,0.0,0.107,2.3029324340820314,1.0,1.0,1.0,1.0,
2,fedavg,0,4,54,True,False,0.11310190369540873,0.101,2.303069854736328,0.0,0.0,0.0,0.0,
2,fedavg,0,4,56,True,False,0.04255319148936165,0.1325,2.3021236724853518,0.883177570093458,0.6864501679731243,0.6515,0.7291666666666666,
2,fedavg,0,4,98,True,False,0.17469204927211646,0.2385,2.7815748901367185,0.7710280373831776,0.4932810750279955,0.5195,0.0625,
4,fedavg,0,4,0,False,False,0.11310190369540873,0.101,2.303148483276367,0.0,0.0,0.0,0.0,
4,fedavg,0,4,1,False,False,0.003919372900335949,0.101,2.302078918457031,0.9112149532710281,0.948488241881299,0.9045,0.9479166666666666,
4,fedavg,0,4,2,False,False,0.11310190369540873,0.101,2.3029470672607424,0.0,0.0,0.0,0.0,
4,fedavg,0,4,3,False,False,0.0,0.107,2.3027999572753908,1.0,1.0,1.0,1.0,
4,fedavg,0,4,4,False,False,0.1243001119820829,0.1115,2.302261276245117,0.004672897196261682,0.06326987681970885,0.0565,0.03125,
4,fedavg,0,4,5,False,False,0.1970884658454647,0.177,3.5500479736328123,0.009345794392523364,0.004479283314669653,0.0045,0.0,
4,fedavg,0,4,6,False,False,0.11310190369540873,0.101,2.3035677795410154,0.0,0.0,0.0,0.0,
4,fedavg,0,4,7,False,True,0.30739081746920494,0.2805,2.5842420654296876,0.056074766355140186,0.002799552071668533,0.004,0.0,
4,fedavg,0,4,8,False,False,0.11758118701007836,0.105,2.3022007598876955,0.0,0.0,0.0,0.0,
4,fedavg,0,4,9,False,False,0.09966405375139975,0.089,2.3027066345214844,0.0,0.0,0.0,0.0,
4,fedavg,0,4,33,True,False,0.0,0.107,2.3029324340820314,1.0,1.0,1.0,1.0,
4,fedavg,0,4,54,True,True,0.23124300111982088,0.2065,4.791751770019531,0.0,0.3639417693169093,0.325,0.53125,
4,fedavg,0,4,56,True,False,0.04255319148936165,0.1325,2.3021236724853518,0.883177570093458,0.6842105263157895,0.652,0.71875,
4,fedavg,0,4,98,True,False,0.1550951847704367,0.1895,2.8022694091796874,0.4766355140186916,0.1366181410974244,0.1615,0.052083333333333336,
6,fedavg,0,4,0,False,True,0.35106382978723405,0.3245,2.8402080383300783,0.102803738317757,0.005039193729003359,0.0065,0.0,
6,fedavg,0,4,1,False,False,0.003919372900335949,0.101,2.302078918457031,0.9112149532710281,0.9546472564389697,0.9185,0.9583333333333334,
6,fedavg,0,4,2,False,True,0.251959686450168,0.2765,2.806422119140625,0.48130841121495327,0.12206047032474804,0.1265,0.125,
6,fedavg,0,4,3,False,False,0.0,0.107,2.3027999572753908,1.0,1.0,1.0,1.0,
6,fedavg,0,4,4,False,False,0.1243001119820829,0.1115,2.302261276245117,0.004672897196261682,0.07838745800671892,0.07,0.03125,
6,fedavg,0,4,5,False,False,0.1970884658454647,0.177,3.5500479736328123,0.009345794392523364,0.0022396416573348264,0.0025,0.0,
6,fedavg,0,4,6,False,True,0.31466965285554316,0.297,2.7991582641601562,0.14953271028037382,0.06326987681970885,0.0575,0.010416666666666666,
