round,defense,bad_client_num,poison_rate,schedule,attack_active_this_round,tau,alpha,alpha_dirichlet,seed,variant,acc_global,acc_global_raw,acc_personalized,asr_global_targeted,asr_personalized_targeted,asr_unfiltered,asr_paper_benign,asr_paper_malicious,asr_paper_all,asr_paper_filtered_benign,asr_paper_filtered_malicious,asr_paper_filtered_all,asr_paper_frozen_benign,asr_paper_frozen_malicious,asr_paper_frozen_all,mta_personalized,mta_global,mta_personalized_shared,asr_paper_shared_benign,asr_paper_filtered_shared_benign,acc_local_personalized,acc_local_malicious,acc_local_personalized_shared,clean_loss_personalized,clean_loss_global,acc_target_class_personalized,acc_target_class_global,mask_keep_ratio,effective_trim_n,zero_sign_ratio,n_malicious_this_round,rounds_since_last_malicious,n_eval_clients,n_eval_clients_participated_this_round,acc_malicious_own,asr_malicious_own,n_eval_malicious,train_wall_s,eval_wall_s
2,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.10582306830907051,0.10582306830907051,0.09132138857782754,0.24412094064949608,0.19972004479283317,0.19425,0.19687499999999997,0.4348958333333333,0.2648809523809524,0.19897761325577296,0.4252233833106164,0.2636192618428711,,,,0.10205,0.1585,,,,0.08958333333333332,0.20052083333333334,,2.3711496368408205,2.300960159301758,0.191588785046729,0.5981308411214953,,-1,,0,1,10,1,0.06396976483762598,0.4239921612541993,4,1.585,11.646
4,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.09798432250839861,0.09798432250839861,0.09204927211646137,0.3258678611422172,0.20291153415453525,0.19854999999999998,0.19791666666666669,0.4348958333333333,0.265625,0.20010752688172043,0.4277173913043478,0.2651389167167568,,,,0.10270000000000001,0.166,,,,0.096875,0.265625,,2.4238429992675785,2.2998516540527345,0.191588785046729,0.7336448598130841,,-1,,1,0,10,1,0.07040873460246361,0.43183090705487126,4,2.442,11.354
6,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.10302351623740202,0.0,0.0946808510638298,0.0,0.19988801791713326,0.19475,0.19791666666666669,0.28645833333333337,0.22321428571428573,0.20005288207297728,0.261723602484472,0.21767308790483292,,,,0.10505,0.092,,,,0.20208333333333334,0.3359375,,2.65859704284668,2.6383583984375,0.191588785046729,0.0,,-1,,2,0,10,4,0.11968085106382981,0.2707166853303471,4,3.373,11.212
8,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.09966405375139975,0.006159014557670761,0.10789473684210527,0.0,0.1001679731243001,0.09459999999999999,0.09479166666666668,0.29427083333333337,0.15178571428571427,0.09688172043010752,0.26157683144729005,0.14393746643501681,,,,0.10615000000000001,0.089,,,,0.25729166666666664,0.4140625,,2.745844342041016,2.57214306640625,0.09158878504672897,0.0,,-1,,0,1,10,0,0.12513997760358342,0.2926931690929451,4,1.486,11.245
10,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.1035834266517357,0.0,0.11270996640537514,0.0005599104143337066,0.10223964165733483,0.0978,0.096875,0.2265625,0.13392857142857145,0.09897761325577296,0.192943077453947,0.12582488874096556,,,,0.11045,0.0925,,,,0.2635416666666667,0.45052083333333337,,2.8684737579345705,2.6249758911132814,0.09158878504672897,0.0,,-1,,0,1,10,1,0.14529675251959687,0.251959686450168,4,1.494,11.289
12,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.11310190369540873,0.0,0.12144456886898096,0.0,0.11287793952967524,0.11305000000000001,0.1125,0.234375,0.14732142857142858,0.11053991559606394,0.20112827502650307,0.13642230400476082,,,,0.12355000000000001,0.101,,,,0.2895833333333333,0.44791666666666674,,2.775052340698242,2.6957818603515626,0.1411214953271028,0.0,,-1,,0,1,10,2,0.14473684210526316,0.2533594624860022,4,1.499,11.176
14,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.09966405375139975,0.0,0.12144456886898096,0.0,0.11287793952967524,0.11305000000000001,0.11145833333333333,0.2265625,0.1443452380952381,0.10963133640552998,0.18939069197795466,0.13241972371193703,,,,0.12355000000000001,0.089,,,,0.29375,0.44270833333333337,,2.775052340698242,2.626765075683594,0.1411214953271028,0.0,,-1,,0,3,10,0,0.14459686450167972,0.2530795072788354,4,1.443,11.284
16,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.09966405375139975,0.0,0.14977603583426652,0.0,0.11976483762597985,0.11984999999999998,0.11666666666666667,0.2682291666666667,0.1599702380952381,0.11314812016821536,0.2255132850241546,0.145252452984198,,,,0.1502,0.089,,,,0.3208333333333333,0.5026041666666666,,2.5902634399414057,2.799128173828125,0.15373831775700936,0.0,,-1,,2,0,10,2,0.19148936170212766,0.2971724524076148,4,3.344,11.243
18,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.10470324748040316,0.0,0.1597984322508399,0.0,0.13006718924972005,0.12869999999999998,0.125,0.14322916666666666,0.13020833333333334,0.12369431643625192,0.10888177486599165,0.11946216170189185,,,,0.15985,0.0935,,,,0.3125,0.5260416666666667,,2.607473516845703,2.7447596435546875,0.1602803738317757,0.0,,-1,,0,1,10,0,0.23236282194848823,0.16097424412094063,4,1.492,11.294
20,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.09966405375139975,0.0005599104143336753,0.16478163493840986,0.0,0.11164613661814109,0.11134999999999999,0.11458333333333333,0.09375,0.10863095238095237,0.1105478750640041,0.04120945479641131,0.09073689784469187,,,,0.1631,0.089,,,,0.3145833333333333,0.5208333333333334,,2.5841286849975584,2.9405277099609375,0.14906542056074767,0.0,,-1,,1,0,10,0,0.26973684210526316,0.07810750279955209,4,2.429,11.167
