round,defense,bad_client_num,poison_rate,schedule,attack_active_this_round,tau,alpha,alpha_dirichlet,seed,variant,acc_global,acc_global_raw,acc_personalized,asr_global_targeted,asr_personalized_targeted,asr_unfiltered,asr_paper_benign,asr_paper_malicious,asr_paper_all,asr_paper_filtered_benign,asr_paper_filtered_malicious,asr_paper_filtered_all,asr_paper_frozen_benign,asr_paper_frozen_malicious,asr_paper_frozen_all,mta_personalized,mta_global,mta_personalized_shared,asr_paper_shared_benign,asr_paper_filtered_shared_benign,acc_local_personalized,acc_local_malicious,acc_local_personalized_shared,clean_loss_personalized,clean_loss_global,acc_target_class_personalized,acc_target_class_global,mask_keep_ratio,effective_trim_n,zero_sign_ratio,n_malicious_this_round,rounds_since_last_malicious,n_eval_clients,n_eval_clients_participated_this_round,acc_malicious_own,asr_malicious_own,n_eval_malicious,train_wall_s,eval_wall_s
2,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.11702127659574468,0.11702127659574468,0.1001679731243001,0.0,0.19944008958566628,0.194,0.19791666666666669,0.44791666666666663,0.2693452380952381,0.2001418439716312,0.43612216778934476,0.26756479363383506,,,,0.10994999999999999,0.1045,,,,0.09062499999999998,0.2265625,,2.3659494934082033,2.300598342895508,0.191588785046729,0.0,,-1,,0,1,10,1,0.08258678611422171,0.54493281075028,4,7.386,11.625
4,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.1114221724524076,0.1114221724524076,0.11892497200447927,0.006159014557670772,0.2019036954087346,0.19695000000000001,0.19791666666666666,0.5755208333333334,0.30580357142857134,0.1989247311827957,0.5625874014747012,0.3028283512661973,,,,0.1274,0.1035,,,,0.103125,0.36458333333333337,,2.4556000915527347,2.3001164245605468,0.19813084112149532,0.037383177570093455,,-1,,1,0,10,1,0.10722284434490481,0.5461926091825308,4,8.467,11.416
6,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.21388577827547595,0.007278835386338223,0.20403135498320268,0.02631578947368421,0.22295632698768192,0.21869999999999998,0.2125,0.703125,0.35267857142857145,0.21125695216907672,0.6986910593998774,0.3505238399493055,,,,0.21149999999999997,0.2015,,,,0.32291666666666663,0.43229166666666674,,2.636422387695313,3.029391632080078,0.27383177570093464,0.09813084112149532,,-1,,2,0,10,4,0.15761478163493842,0.6019036954087347,4,9.855,11.333
8,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.28051511758118697,0.1114221724524076,0.23465845464725646,0.09910414333706608,0.12250839865621499,0.11840000000000002,0.115625,0.8828125,0.33482142857142855,0.11425034830136105,0.8746265349534277,0.33150068734480864,,,,0.22815,0.2765,,,,0.38541666666666663,0.4140625,,2.7351866363525392,2.5622537536621093,0.17383177570093458,0.24299065420560748,,-1,,0,1,10,0,0.17105263157894737,0.8255879059350504,4,6.877,11.32
10,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.24468085106382975,0.009518477043673035,0.26097424412094067,0.22956326987681971,0.1337625979843225,0.1293,0.12291666666666667,0.875,0.33779761904761907,0.12067624825461025,0.8683910864116813,0.33430905915663056,,,,0.2543,0.277,,,,0.4166666666666667,0.49479166666666663,,2.588987471008301,2.7513537292480468,0.1985981308411215,0.5467289719626168,,-1,,0,1,10,1,0.2568589025755879,0.8073908174692048,4,6.918,11.364
12,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.31746920492721165,0.12821948488241885,0.3041993281075028,0.1360582306830907,0.1421612541993281,0.14120000000000002,0.13229166666666664,0.8515625,0.337797619047619,0.1306193281732354,0.8388961534270459,0.3329841353886098,,,,0.2973,0.311,,,,0.4875,0.515625,,2.572445233154297,2.4166412811279296,0.23971962616822431,0.2570093457943925,,-1,,0,1,10,2,0.27701567749160133,0.7810750279955208,4,6.931,11.276
14,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.31466965285554316,0.0011198208286674616,0.3041993281075028,0.2704367301231803,0.1422172452407615,0.14125000000000001,0.13229166666666667,0.8567708333333333,0.3392857142857143,0.1300686181384627,0.8469455366831039,0.3348905948655031,,,,0.2973,0.353,,,,0.4864583333333333,0.515625,,2.572445233154297,2.2244122161865234,0.23971962616822431,0.6728971962616822,,-1,,0,3,10,0,0.27743561030235164,0.7807950727883538,4,6.907,11.374
16,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.2844344904815229,0.03247480403135494,0.3079507278835386,0.5425531914893617,0.14479283314669653,0.1422,0.13854166666666667,0.9635416666666667,0.3742559523809524,0.13882483970822468,0.9707093821510298,0.3765061375490261,,,,0.3012,0.3225,,,,0.4833333333333333,0.5390625,,2.5356534973144536,2.4905556640625,0.24485981308411214,0.6401869158878505,,-1,,2,0,10,2,0.2936730123180291,0.9232922732362823,4,9.872,11.349
18,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.35330347144456886,0.11030235162374025,0.3180851063829787,0.4328107502799552,0.17362821948488244,0.16925,0.17604166666666668,0.9348958333333333,0.39285714285714285,0.17878770337198552,0.9447368421052631,0.3976303144386363,,,,0.31095,0.374,,,,0.5010416666666667,0.578125,,2.470193437194825,2.46659814453125,0.2514018691588785,0.5467289719626168,,-1,,0,1,10,0,0.3212486002239641,0.9743840985442329,4,6.883,11.449
20,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.23460246360582304,0.09686450167973126,0.3199888017917133,0.39249720044792835,0.17967525195968648,0.1758,0.178125,0.9739583333333334,0.40550595238095244,0.17731034645511656,0.9763157894736842,0.405597615888993,,,,0.31284999999999996,0.2635,,,,0.496875,0.5885416666666667,,2.468788633728028,2.8397374877929686,0.25327102803738316,0.5046728971962616,,-1,,1,0,10,0,0.30893057110862265,0.9791433370660695,4,8.42,11.406
22,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.36170212765957444,0.11198208286674127,0.3940089585666294,0.2933930571108623,0.1486562150055991,0.14525000000000002,0.15416666666666667,0.9713541666666666,0.3876488095238096,0.1546460069764042,0.9710526315789474,0.3879050425771308,,,,0.374,0.37,,,,0.56875,0.59375,,2.3104120758056643,2.2591080322265626,0.2070093457943925,0.4392523364485981,,-1,,0,1,10,3,0.32740761478163494,0.9785834266517357,4,6.948,11.246
24,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.38465845464725645,0.11086226203807392,0.3940089585666294,0.5078387458006719,0.14843225083986564,0.14489999999999997,0.146875,1.0,0.390625,0.14611951776896304,1.0,0.3900853698349736,,,,0.374,0.4,,,,0.571875,0.5494791666666667,,2.3104120758056643,2.012944137573242,0.2070093457943925,0.5280373831775701,,-1,,0,1,10,0,0.3400055991041433,0.9986002239641658,4,6.936,11.222
26,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.3673012318029115,0.0727883538633819,0.3963605823068309,0.4608062709966405,0.17625979843225084,0.1717,0.175,0.9973958333333334,0.4099702380952381,0.17577154991889907,1.0,0.41126539279921365,,,,0.3772,0.375,,,,0.5697916666666667,0.5885416666666666,,2.283173234558106,2.4717351989746095,0.2172897196261682,0.4392523364485981,,-1,,0,1,10,1,0.36030235162374025,0.9990201567749161,4,7.003,11.287
28,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.38185890257558786,0.1114221724524076,0.41125419932810753,0.4596864501679731,0.21298992161254202,0.20614999999999997,0.228125,0.9973958333333334,0.44791666666666663,0.2277939557024963,1.0,0.4484242540732116,,,,0.3921,0.412,,,,0.58125,0.5963541666666667,,2.2114516525268555,2.199567886352539,0.23224299065420556,0.6635514018691588,,-1,,0,3,10,0,0.3605823068309071,0.9990201567749161,4,6.96,11.427
30,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.4148936170212766,0.11254199328107506,0.4246360582306831,0.24524076147816348,0.20834266517357225,0.20154999999999998,0.2166666666666667,0.9947916666666667,0.43898809523809523,0.21534724040634945,0.9972222222222222,0.4387400923537417,,,,0.40440000000000004,0.4115,,,,0.596875,0.6223958333333333,,2.146661460876465,2.184340515136719,0.23551401869158878,0.38317757009345793,,-1,,0,1,10,0,0.368421052631579,0.9983202687569989,4,6.968,11.424
