round,defense,bad_client_num,poison_rate,schedule,attack_active_this_round,tau,alpha,alpha_dirichlet,seed,variant,acc_global,acc_global_raw,acc_personalized,asr_global_targeted,asr_personalized_targeted,asr_unfiltered,asr_paper_benign,asr_paper_malicious,asr_paper_all,asr_paper_filtered_benign,asr_paper_filtered_malicious,asr_paper_filtered_all,asr_paper_frozen_benign,asr_paper_frozen_malicious,asr_paper_frozen_all,mta_personalized,mta_global,clean_loss_personalized,clean_loss_global,acc_target_class_personalized,acc_target_class_global,mask_keep_ratio,effective_trim_n,zero_sign_ratio,n_malicious_this_round,rounds_since_last_malicious,n_eval_clients,n_eval_clients_participated_this_round,acc_malicious_own,asr_malicious_own,n_eval_malicious,train_wall_s,eval_wall_s
2,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.08958566629339304,0.10918253079507279,0.15890257558790594,0.0,0.15711086226203808,0.16724999999999998,0.16964285714285715,0.48549107142857145,0.2598852040816327,0.14134728539656527,0.483709528611582,0.23916506917228433,,,,0.1729,0.08,2.263558586120605,2.303293182373047,0.28971962616822433,0.0,,-1,,0,1,10,3,0.09672452407614784,0.2620380739081747,4,12.831,11.716
4,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.09910414333706608,0.05543113101903696,0.2263157894736842,0.0,0.062374020156774915,0.07060000000000001,0.08035714285714286,0.40625,0.17346938775510204,0.04906827955341397,0.3812599201762902,0.14398017687423575,,,,0.22225,0.0885,2.296057102966308,2.3032914581298827,0.18831775700934578,0.0,,-1,,1,0,10,3,0.17455207166853307,0.43365061590145576,4,15.382,11.638
6,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.07950727883538633,0.06774916013437848,0.2955767077267637,0.02855543113101904,0.08913773796192609,0.10245,0.12053571428571427,0.5770089285714286,0.25095663265306123,0.06197952776691505,0.5487273297031448,0.20105032832012354,,,,0.29605000000000004,0.0745,2.2722799072265625,2.3980383911132814,0.3,0.03271028037383177,,-1,,0,1,10,3,0.22214445688689813,0.5522116461366181,4,12.116,11.67
8,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.052631578947368474,0.0699888017917133,0.3395296752519597,0.025755879059350503,0.106047032474804,0.1199,0.125,0.6216517857142858,0.2669005102040817,0.05948648514614986,0.6143908980466388,0.21803060311771813,,,,0.3414,0.05,2.325756930541992,2.3973611145019533,0.3570093457943925,0.028037383177570093,,-1,,1,0,10,3,0.33216685330347145,0.529535274356103,4,15.284,11.658
10,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.04703247480403139,0.059910414333706585,0.40470324748040315,0.06494960806270997,0.09507278835386337,0.1076,0.11919642857142858,0.6930803571428572,0.28316326530612246,0.04638109002752335,0.692540199873084,0.2309979785548264,,,,0.4008,0.045,2.149006010437012,2.4177149810791017,0.36822429906542054,0.028037383177570093,,-1,,0,1,10,3,0.3248880179171333,0.621080627099664,4,12.124,11.73
12,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.045912653975363926,0.0543113101903695,0.43292273236282197,0.044232922732362824,0.09249720044792833,0.10605,0.12366071428571428,0.7042410714285714,0.2895408163265306,0.04955749760464482,0.7050128538177948,0.23683045652268767,,,,0.43224999999999997,0.0415,2.025709443664551,2.415175033569336,0.42663551401869154,0.004672897196261682,,-1,,1,0,10,1,0.3516237402015678,0.6406774916013438,4,15.937,11.755
14,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.04199328107502798,0.06326987681970886,0.4650055991041433,0.10022396416573348,0.09720044792833146,0.1112,0.12767857142857142,0.9118303571428571,0.3517219387755102,0.05077368351062987,0.9113720607089635,0.2966589341387252,,,,0.46335000000000004,0.039,1.8819762298583982,2.428762634277344,0.44953271028037384,0.014018691588785047,,-1,,2,0,10,3,0.41461366181410975,0.805431131019037,4,19.3,11.656
16,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.05039193729003355,0.03695408734602468,0.5328667413213886,0.19036954087346025,0.08555431131019037,0.09375,0.11830357142857142,0.9162946428571429,0.34630102040816324,0.03705500049433677,0.9174372341580459,0.28859278154111084,,,,0.52185,0.048,1.6427527923583984,2.4042908020019533,0.42990654205607476,0.028037383177570093,,-1,,1,0,10,4,0.429451287793953,0.8310470324748039,4,15.891,11.711
18,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.04255319148936165,0.06103023516237405,0.5278275475923853,0.11198208286674133,0.10890257558790595,0.1179,0.14017857142857143,0.9720982142857143,0.37786989795918363,0.06185515714237265,0.9798757526127231,0.32414675584818703,,,,0.5212,0.0405,1.670378941345215,2.4001712341308594,0.4658878504672897,0.02336448598130841,,-1,,2,0,10,1,0.45114781634938406,0.9696248600223965,4,19.306,11.662
20,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.05823068309070545,0.06270996640537518,0.5394736842105263,0.1534154535274356,0.10559910414333709,0.1139,0.13749999999999998,0.9787946428571428,0.37786989795918363,0.06046950880545332,0.981497668997669,0.32362041171751493,,,,0.53325,0.0555,1.6651082214355468,2.408352813720703,0.4813084112149532,0.03271028037383177,,-1,,2,0,10,1,0.45688689809630456,0.9930011198208287,4,18.543,11.576
22,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.08510638297872342,0.06103023516237405,0.5453527435610303,0.2564389697648376,0.11170212765957448,0.12,0.12544642857142857,0.9888392857142857,0.37213010204081637,0.04481292097398727,0.9927048987282148,0.315639200332338,,,,0.5368,0.08,1.6697674438476564,2.406403289794922,0.4654205607476635,0.037383177570093455,,-1,,1,0,10,2,0.47494400895856664,0.9903415453527437,4,15.487,11.82
24,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.08678611422172455,0.0464725643896976,0.5470884658454647,0.08006718924972005,0.10755879059350504,0.11609999999999998,0.12589285714285714,0.9899553571428572,0.37276785714285715,0.04620177809044996,0.9894750731781172,0.3157084338297835,,,,0.5415,0.078,1.6497996742248535,2.416463897705078,0.49485981308411214,0.004672897196261682,,-1,,0,1,10,1,0.44792833146696526,0.9813829787234043,4,12.287,11.674
26,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.07950727883538633,0.04815229563269874,0.5555991041433371,0.16405375139977604,0.0984322508398656,0.10505,0.12455357142857142,0.9933035714285714,0.37276785714285715,0.0412372446477434,0.993222815169531,0.3132331219396827,,,,0.5486,0.0735,1.6523727462768556,2.412060028076172,0.49018691588785046,0.02336448598130841,,-1,,1,0,10,2,0.46472564389697646,0.9944008958566629,4,15.519,11.598
28,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.05543113101903696,0.05095184770436734,0.5521276595744681,0.1769316909294513,0.10890257558790595,0.11295,0.12678571428571428,0.9854910714285715,0.37213010204081637,0.03986316071779561,0.9846805787104675,0.30981099442998766,,,,0.54625,0.052,1.6943533096313477,2.426968185424805,0.497196261682243,0.02336448598130841,,-1,,0,1,10,2,0.48978163493840987,0.9937010078387457,4,12.274,11.809
30,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.03639417693169089,0.05095184770436734,0.5692049272116462,0.1791713325867861,0.11075027995520717,0.11550000000000002,0.12321428571428572,0.9944196428571429,0.37213010204081637,0.042119010602448305,0.9941811730639107,0.3141367713057233,,,,0.5647,0.0345,1.630683840942383,2.4121539916992187,0.5271028037383177,0.018691588785046728,,-1,,0,1,10,3,0.4899216125419933,0.9969204927211647,4,12.273,11.643
32,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.05151175811870101,0.055991041433370636,0.5778275475923852,0.03863381858902576,0.11937290033594625,0.12430000000000001,0.13303571428571428,0.9966517857142858,0.3797831632653061,0.050873709375995654,0.9964472233428878,0.3210375705093934,,,,0.574,0.046,1.596015757751465,2.4116352081298826,0.5420560747663551,0.0,,-1,,1,0,10,1,0.49734042553191493,0.9923012318029115,4,15.853,11.909
34,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.0699888017917133,0.058790593505039235,0.601063829787234,0.22228443449048152,0.10991041433370663,0.11255,0.13124999999999998,0.9977678571428572,0.3788265306122449,0.04593823584389222,0.998868778280543,0.31820410511150676,,,,0.59615,0.063,1.5060451583862307,2.414685394287109,0.5551401869158878,0.004672897196261682,,-1,,1,0,10,3,0.5,0.9959406494960806,4,15.809,11.798
36,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.09350503919372899,0.06438969764837621,0.6063269876819709,0.21948488241881298,0.12833146696528558,0.1306,0.14375,0.9955357142857143,0.38711734693877553,0.0633919474105968,0.9953261483449498,0.32965886196326905,,,,0.6012,0.0835,1.4820924224853518,2.4144598236083983,0.558411214953271,0.0,,-1,,0,1,10,3,0.4958006718924972,0.9976203807390818,4,12.418,11.965
38,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.09182530795072785,0.0571108622620381,0.5992721164613661,0.21388577827547592,0.13896976483762596,0.1405,0.15535714285714283,0.9977678571428572,0.3960459183673469,0.07615138013490405,0.9977425601304526,0.3394631458479179,,,,0.5945500000000001,0.082,1.5369685203552246,2.4206770477294923,0.5551401869158878,0.0,,-1,,1,0,10,3,0.4822228443449048,0.9977603583426652,4,16.029,11.75
40,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.06830907054871216,0.06382978723404253,0.6100783874580068,0.32082866741321386,0.10156774916013436,0.09985,0.11741071428571428,0.9977678571428572,0.36894132653061223,0.04142124374010731,0.9976098882338211,0.3146179993097399,,,,0.6031500000000001,0.061,1.5347838050842286,2.416814987182617,0.5453271028037384,0.0,,-1,,1,0,10,5,0.5265957446808511,0.9977603583426652,4,15.871,11.77
42,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.0464725643896976,0.06159014557670772,0.6159574468085107,0.3684210526315789,0.1021276595744681,0.1008,0.1308035714285714,0.9988839285714286,0.3788265306122449,0.05121090795830837,1.0,0.322293505684506,,,,0.61095,0.0435,1.5233729530334472,2.4217772674560547,0.5691588785046728,0.018691588785046728,,-1,,2,0,10,4,0.510498320268757,0.9969204927211646,4,19.698,11.727
44,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.038633818589025704,0.06494960806271,0.6351623740201567,0.26651735722284436,0.11483762597984322,0.11210000000000002,0.13348214285714283,0.9988839285714286,0.3807397959183673,0.05009037422122622,1.0,0.321493124443733,,,,0.62865,0.0355,1.4311151008605958,2.420349182128906,0.5742990654205606,0.009345794392523364,,-1,,1,0,10,3,0.5132978723404256,0.9969204927211646,4,15.482,11.611
46,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.0414333706606943,0.058790593505039235,0.6358902575587907,0.42721164613661816,0.10341545352743561,0.10065000000000002,0.12723214285714285,0.9988839285714286,0.3762755102040817,0.048014212028417914,0.9988789237668161,0.3196898439536745,,,,0.62785,0.0385,1.444924836730957,2.440590560913086,0.5607476635514017,0.014018691588785047,,-1,,2,0,10,3,0.5216965285554312,0.9983202687569989,4,19.474,11.846
48,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.0750279955207167,0.06494960806271,0.6323628219484883,0.11814109742441209,0.10828667413213885,0.1056,0.12723214285714285,1.0,0.37659438775510207,0.04917252994310782,1.0,0.32083752138793414,,,,0.6262,0.067,1.4626325271606446,2.451097396850586,0.5747663551401868,0.0,,-1,,0,2,10,1,0.5219764837625981,0.9983202687569989,4,12.163,11.773
50,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.0699888017917133,0.05767077267637177,0.6324748040313549,0.09798432250839866,0.11164613661814109,0.10865000000000002,0.13482142857142856,0.9966517857142857,0.38105867346938777,0.051627749544070234,0.9964452214452215,0.3215755986586849,,,,0.62815,0.0625,1.4542986167907714,2.476427703857422,0.592056074766355,0.0,,-1,,1,0,10,1,0.5107782754759239,0.9997200447928332,4,16.12,11.768
52,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.08734602463605823,0.06942889137737962,0.6405375139977604,0.1618141097424412,0.11500559910414336,0.11155000000000001,0.13348214285714283,0.9977678571428572,0.3804209183673469,0.050503364644579475,0.9976136363636364,0.3211062994214529,,,,0.6358999999999999,0.0785,1.4316737144470215,2.4394527130126953,0.5971962616822429,0.004672897196261682,,-1,,0,2,10,2,0.5176371780515118,0.9995800671892497,4,12.219,11.874
54,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.044792833146696576,0.0727883538633819,0.6393057110862261,0.23852183650615902,0.1133818589025756,0.11120000000000001,0.12857142857142856,0.9988839285714286,0.37723214285714285,0.053213578120083004,1.0,0.3237239843714879,,,,0.63325,0.04,1.4608409675598144,2.4578363647460937,0.5827102803738318,0.0,,-1,,2,0,10,1,0.5421332586786114,0.9986002239641658,4,18.334,11.781
56,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.07334826427771557,0.07614781634938406,0.6424412094064949,0.29059350503919373,0.1133818589025756,0.11105000000000001,0.13214285714285715,0.9966517857142857,0.3791454081632653,0.05487114840070727,0.9977272727272728,0.3242586124940117,,,,0.6359499999999999,0.0665,1.4387470054626463,2.4333482971191405,0.5817757009345794,0.009345794392523364,,-1,,2,0,10,2,0.5216965285554311,0.9925811870100785,4,18.824,11.758
58,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.053751399776035824,0.07110862262038076,0.6250279955207166,0.1427771556550952,0.10207166853303473,0.09985000000000001,0.1205357142857143,0.9977678571428572,0.3711734693877551,0.04559200324117477,0.9988636363636364,0.3179553269904495,,,,0.6190499999999999,0.0485,1.5885159309387207,2.442532989501953,0.5691588785046728,0.004672897196261682,,-1,,1,0,10,2,0.5235162374020157,0.9993001119820829,4,15.816,11.806
60,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.06942889137737962,0.06774916013437848,0.6170772676371781,0.2625979843225084,0.12390817469204929,0.12200000000000003,0.15580357142857143,1.0,0.39700255102040816,0.08983855798863763,1.0,0.34988468427759833,,,,0.6104499999999999,0.0625,1.6525358543395996,2.4434669036865233,0.5551401869158878,0.004672897196261682,,-1,,1,0,10,2,0.518057110862262,0.9991601343784995,4,15.382,11.852
62,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.07558790593505038,0.0778275475923852,0.6261478163493841,0.1690929451287794,0.09232922732362822,0.08845,0.11919642857142858,0.9988839285714286,0.3705357142857143,0.0451280501561338,1.0,0.3179486072543813,,,,0.6187500000000001,0.068,1.63110340423584,2.439665740966797,0.5570093457943925,0.004672897196261682,,-1,,0,2,10,2,0.5183370660694289,0.9993001119820829,4,12.45,11.78
64,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.045912653975363926,0.06326987681970886,0.627043673012318,0.15565509518477044,0.08639417693169092,0.08335000000000001,0.11116071428571428,0.9988839285714286,0.364795918367347,0.042032327344902025,1.0,0.31573737667493,,,,0.6196,0.0415,1.6488598472595215,2.447514465332031,0.5574766355140187,0.004672897196261682,,-1,,0,4,10,2,0.5177771556550952,0.9991601343784995,4,12.459,11.671
66,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.05543113101903696,0.07054871220604708,0.6277155655095183,0.23964165733482642,0.08633818589025756,0.08209999999999999,0.10580357142857141,1.0,0.36128826530612246,0.04028580552976579,1.0,0.3144898610926899,,,,0.62035,0.0495,1.6524005546569824,2.4183543243408203,0.5588785046728971,0.0,,-1,,0,1,10,1,0.5221164613661814,0.9995800671892497,4,12.662,11.792
68,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.048712206047032525,0.06438969764837621,0.6498880179171332,0.1522956326987682,0.09132138857782755,0.08725000000000001,0.11294642857142859,1.0,0.366390306122449,0.04941565662796382,1.0,0.32101118330568845,,,,0.64225,0.044,1.4810006286621094,2.417699493408203,0.5785046728971962,0.004672897196261682,,-1,,0,3,10,1,0.5225363941769317,0.9997200447928332,4,12.133,11.818
70,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.03751399776035835,0.0699888017917133,0.6519596864501679,0.19820828667413215,0.08684210526315789,0.08305,0.10625,1.0,0.36160714285714285,0.03912449719717658,1.0,0.3136603551408404,,,,0.6444,0.0345,1.4781152671813964,2.430456634521484,0.5813084112149534,0.009345794392523364,,-1,,1,0,10,1,0.49972004479283316,0.9998600223964166,4,15.683,11.68
72,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.043673012318029114,0.07950727883538633,0.653471444568869,0.19092945128779396,0.09031354983202687,0.08759999999999998,0.11026785714285714,0.9910714285714286,0.36192602040816324,0.045973110287106246,0.9908430014368124,0.31593593632987943,,,,0.6460999999999999,0.0395,1.488004135131836,2.4577586517333985,0.5845794392523365,0.004672897196261682,,-1,,1,0,10,0,0.5597704367301232,0.9994400895856663,4,15.247,11.589
74,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.06159014557670772,0.07838745800671898,0.6562709966405376,0.32754759238521836,0.09602463605823067,0.094,0.13303571428571428,0.9966517857142857,0.3797831632653061,0.06905198846235311,0.9965909090909091,0.3340631086419405,,,,0.64745,0.0555,1.4701747901916504,2.4328877258300783,0.5738317757009346,0.004672897196261682,,-1,,1,0,10,3,0.5768477043673013,0.9995800671892497,4,16.052,11.706
