alpha,seed,A_observable,l2_to_median,sign_consistency
1.0,0,0.6066666666666667,1.0,0.62
0.5,0,0.6955555555555556,1.0,0.6877777777777778
0.1,0,0.8258426966292135,0.8922222222222222,0.7011111111111111
0.05,0,0.2590909090909091,0.7288888888888889,0.6622222222222223
