alpha,seed,client_id,is_malicious,n_valid_classes,M_nan_fraction,n_valid_t_columns,A_observable,A_mean_t_variant
1.0,0,0,False,10,0.0,10,-0.3496429920196533,-2.1109254360198975
1.0,0,1,False,10,0.0,10,0.4577016830444336,-0.8436428308486938
1.0,0,2,False,10,0.0,10,-0.43073031306266785,-0.9444876909255981
1.0,0,3,False,9,0.10000000149011612,10,-1.9348089694976807,-3.17207670211792
1.0,0,4,False,9,0.10000000149011612,10,0.7697441577911377,-1.4612722396850586
1.0,0,5,False,10,0.0,10,-0.3686071038246155,-1.1841484308242798
1.0,0,6,False,9,0.10000000149011612,10,0.45784229040145874,-1.2371363639831543
1.0,0,7,True,9,0.10000000149011612,10,-0.547483503818512,-1.811012625694275
1.0,0,8,True,10,0.0,10,0.19152367115020752,-1.0499989986419678
1.0,0,9,False,8,0.20000000298023224,10,0.7450070381164551,-0.547328531742096
1.0,0,10,False,9,0.10000000149011612,10,-0.1767873764038086,-1.5569937229156494
1.0,0,11,False,10,0.0,10,-0.834355890750885,-2.165963888168335
1.0,0,12,False,8,0.20000000298023224,10,-0.2239445447921753,-2.39469575881958
1.0,0,13,False,9,0.10000000149011612,10,1.35540771484375,0.45432811975479126
1.0,0,14,False,10,0.0,10,0.0061858296394348145,-1.2408452033996582
1.0,0,15,False,9,0.10000000149011612,10,0.4297230839729309,-1.2142722606658936
1.0,0,16,False,10,0.0,10,-0.7422323226928711,-1.579712152481079
1.0,0,17,False,10,0.0,10,-0.1503593921661377,-1.2921735048294067
1.0,0,18,False,10,0.0,10,-1.7803950309753418,-3.669825792312622
1.0,0,19,False,10,0.0,10,0.17899179458618164,-0.8582116961479187
1.0,0,20,False,10,0.0,10,0.06026184558868408,-2.5758535861968994
1.0,0,21,False,10,0.0,10,-0.23627054691314697,-1.6984310150146484
1.0,0,22,False,10,0.0,10,-0.6452690958976746,-1.6034730672836304
1.0,0,23,False,10,0.0,10,-0.7814918756484985,-1.5287777185440063
1.0,0,24,False,10,0.0,10,0.024823486804962158,-1.5593539476394653
1.0,0,25,False,9,0.10000000149011612,10,-0.41221392154693604,-1.6317071914672852
1.0,0,26,False,10,0.0,10,-0.6319620013237,-1.3553857803344727
1.0,0,27,False,10,0.0,10,-0.04640227556228638,-1.4043850898742676
1.0,0,28,False,10,0.0,10,0.5700970888137817,-0.9825013279914856
1.0,0,29,False,10,0.0,10,-0.294330894947052,-1.179372787475586
1.0,0,30,True,9,0.10000000149011612,10,-1.0074063539505005,-1.5247106552124023
1.0,0,31,False,10,0.0,10,0.45212602615356445,-0.6182528734207153
1.0,0,32,False,10,0.0,10,-0.1584898829460144,-1.1509127616882324
1.0,0,33,True,9,0.10000000149011612,10,-0.9459346532821655,-1.380080223083496
1.0,0,34,False,10,0.0,10,0.15323138236999512,-1.0621180534362793
1.0,0,35,False,9,0.10000000149011612,10,0.29781848192214966,-1.0244381427764893
1.0,0,36,False,10,0.0,10,-0.7416256666183472,-1.5260958671569824
1.0,0,37,False,10,0.0,10,-0.5151978731155396,-1.520890712738037
1.0,0,38,False,10,0.0,10,-0.3473271131515503,-2.8622944355010986
1.0,0,39,False,10,0.0,10,0.15819871425628662,-1.1444926261901855
1.0,0,40,False,10,0.0,10,-0.3253600597381592,-1.7922481298446655
1.0,0,41,False,10,0.0,10,-0.621695339679718,-1.6669795513153076
1.0,0,42,False,10,0.0,10,-1.3961607217788696,-2.122133255004883
1.0,0,43,False,9,0.10000000149011612,10,0.8487091064453125,-0.6110780835151672
1.0,0,44,False,9,0.10000000149011612,10,0.06341791152954102,-0.9509897232055664
1.0,0,45,False,9,0.10000000149011612,10,0.21457159519195557,-1.5904455184936523
1.0,0,46,False,10,0.0,10,-0.48887234926223755,-1.7711830139160156
1.0,0,47,False,10,0.0,10,-0.6573630571365356,-1.755523920059204
1.0,0,48,False,10,0.0,10,-0.9873987436294556,-1.990289330482483
1.0,0,49,False,10,0.0,10,-0.437238484621048,-1.9454063177108765
1.0,0,50,False,10,0.0,10,-0.05701380968093872,-1.1942265033721924
1.0,0,51,False,10,0.0,10,-0.9982802867889404,-1.9899965524673462
1.0,0,52,False,10,0.0,10,-0.038314223289489746,-1.1823701858520508
1.0,0,53,False,9,0.10000000149011612,10,-1.3884916305541992,-2.8842320442199707
1.0,0,54,True,10,0.0,10,0.7441666126251221,-1.0565178394317627
1.0,0,55,False,10,0.0,10,-1.3909552097320557,-3.121492624282837
