alpha,seed,"pearson_r(A, 有效类数)","spearman_rho(A, 有效类数)",AUC(A_observable),AUC(仅有效类数),"AUC(A, 有效类数分层)",AUC(mean_t 变体),有效t列数中位数
1.0,0,-0.20416878153395585,-0.2320980563687766,0.6066666666666667,0.36,0.7746277205040091,0.58,10.0
0.5,0,-0.09462775800930485,-0.12976882063827483,0.6955555555555556,0.5477777777777778,0.7019970845481049,0.6088888888888889,10.0
0.1,0,-0.020362254512671474,0.12664928075921328,0.8258426966292135,0.4538888888888889,0.8068827131118936,0.596629213483146,10.0
0.05,0,-0.314865790404784,-0.33614441837911496,0.2590909090909091,0.5261111111111111,0.2511209786945081,0.29659090909090907,10.0
