client_id,is_malicious,n_participations,update_l2_to_global,l2_to_median,arm
0,False,3,12.69353199005127,0.6070066094398499,A_原样
1,False,3,12.706805229187012,0.6104543805122375,A_原样
2,False,3,12.69359016418457,0.5263036489486694,A_原样
3,False,3,12.698637962341309,0.5382040739059448,A_原样
4,False,3,12.73361587524414,0.9333945512771606,A_原样
5,False,3,12.71229362487793,0.6976652145385742,A_原样
6,True,3,21.94110679626465,9.179104804992676,A_原样
7,True,3,21.971284866333008,9.251879692077637,A_原样
0,False,3,12.707036972045898,0.6239981651306152,B_去泄漏
1,False,3,12.717090606689453,0.6214302778244019,B_去泄漏
2,False,3,12.706172943115234,0.5467880964279175,B_去泄漏
3,False,3,12.711343765258789,0.5823969841003418,B_去泄漏
4,False,3,12.736812591552734,0.8920653462409973,B_去泄漏
5,False,3,12.721641540527344,0.7261596918106079,B_去泄漏
6,True,3,21.95950698852539,9.170489311218262,B_去泄漏
7,True,3,21.981857299804688,9.205793380737305,B_去泄漏
