alpha,seed,修正前 AUC,修正后 AUC,n_clients,n_malicious,1 - 修正前,等式成立
1.0,0,0.38,0.62,100,10,0.62,True
0.5,0,0.31222222222222223,0.6877777777777778,100,10,0.6877777777777778,True
0.1,0,0.29888888888888887,0.7011111111111111,100,10,0.7011111111111111,True
0.05,0,0.3377777777777778,0.6622222222222223,100,10,0.6622222222222223,True
