alpha,seed,client_id,is_malicious,class_id,is_target_class,numerator,denominator,ratio_J
1.0,0,0,False,0,True,0.9958900107664559,0.5297313416589358,2.7222744802001184
1.0,0,0,False,1,False,1.0749868401914766,1.5648023797905344,0.994763528870432
1.0,0,0,False,2,False,0.9774900359967706,0.5518025732997893,2.565103080188907
1.0,0,0,False,3,False,0.9964892307430556,0.5813925216826246,2.4818719621291527
1.0,0,0,False,4,False,0.897288342868359,0.7474423605422108,1.7383231854070844
1.0,0,0,False,5,False,1.0361448120476413,0.8606315669485352,1.743329141532663
1.0,0,0,False,6,False,0.8963729140121408,1.2113200157634594,1.071534197308861
1.0,0,0,False,7,False,1.0371859775055974,1.1752215976909164,1.2779476890564163
1.0,0,0,False,8,False,0.9856416477802407,1.2437459416892462,1.1475287469642101
1.0,0,0,False,9,False,1.1025104993174744,1.5339097009337486,1.040780494512194
1.0,0,1,False,0,True,0.9980864296942022,0.5467686207546484,2.638043253960226
1.0,0,1,False,1,False,1.064707660547528,1.556218381452717,0.988728793215004
1.0,0,1,False,2,False,0.9857195606075172,0.5372678029504843,2.6514283957375153
1.0,0,1,False,3,False,0.9964233074700274,0.5886497173421159,2.4462693916474016
1.0,0,1,False,4,False,0.9023936264126997,0.7972491712917681,1.63575887875831
1.0,0,1,False,5,False,1.0400398512497604,0.8355946914134429,1.7987534992745513
1.0,0,1,False,6,False,0.8940719939239296,1.2138371785383744,1.0644601301433463
1.0,0,1,False,7,False,1.038878135474246,1.202272543053572,1.2487601194956763
1.0,0,1,False,8,False,0.9950601310127185,1.2495617401741075,1.1508241051341914
1.0,0,1,False,9,False,1.0846199159498688,1.4725801530287699,1.0644272283367548
1.0,0,2,False,0,True,0.9877802748879551,0.5221818233054738,2.7682469961443856
1.0,0,2,False,1,False,1.073328913285818,1.581038605452164,0.993474197708364
1.0,0,2,False,2,False,0.981951438790467,0.5529631641574259,2.598723342891843
1.0,0,2,False,3,False,0.9989260665802158,0.5732642849393965,2.5500265296278193
1.0,0,2,False,4,False,0.9059507936585318,0.7913723603129162,1.6752898996097736
1.0,0,2,False,5,False,1.0463093415754219,0.8318109610713683,1.8407792158364722
1.0,0,2,False,6,False,0.894490357958848,1.2269182674520058,1.066906274110706
1.0,0,2,False,7,False,1.0350143529667943,1.1884961197435724,1.2744266437529677
1.0,0,2,False,8,False,0.9799044245975644,1.2480300121696144,1.1490129611593947
1.0,0,2,False,9,False,1.0963438325712,1.4839244013960626,1.0811880569311083
1.0,0,3,False,0,True,0.9981991039260897,0.5629238505636548,2.5302695108878335
1.0,0,3,False,1,False,1.0773219207135731,1.5935171676397448,0.9646905104768806
1.0,0,3,False,2,False,0.9818474731173877,0.5507647851116192,2.543765768404546
1.0,0,3,False,3,False,0.9926788178522821,0.5888208544432231,2.4056078269437298
1.0,0,3,False,4,False,0.895351636338072,0.7908994416840985,1.6153685346695386
1.0,0,3,False,5,False,1.0345902578819195,0.8582841552413002,1.7200320760106242
1.0,0,3,False,6,False,0.8964403298032255,1.1804018571096675,1.0836543009824122
1.0,0,3,False,7,False,1.0382664003090127,1.177003749102125,1.2587231223139521
1.0,0,3,False,8,False,0.9897851800244398,1.2351339599134912,1.1434735953917399
1.0,0,3,False,9,False,1.0955191762502499,1.4622501791910756,1.0690488659012063
1.0,0,4,False,0,True,0.9877214934929449,0.5471643706742566,2.623586382238809
1.0,0,4,False,1,False,1.0665546359837805,1.589122887927284,0.9754483952576501
1.0,0,4,False,2,False,0.9889183586458694,0.5301200113151433,2.711220966797615
1.0,0,4,False,3,False,1.0028543880796779,0.5750976254238701,2.5343989403252882
1.0,0,4,False,4,False,0.9030214280813518,0.7603282666528993,1.7261383163824946
1.0,0,4,False,5,False,1.0440821019113022,0.8653120866325783,1.7536404504444374
1.0,0,4,False,6,False,0.905751371158578,1.2074050936655332,1.0902715261444818
1.0,0,4,False,7,False,1.02497068952994,1.1964348672101672,1.2450908996698324
1.0,0,4,False,8,False,0.9751651235285158,1.2610425105815555,1.1238985396106014
1.0,0,4,False,9,False,1.100961214406164,1.467972279916713,1.0900159134306187
1.0,0,5,False,0,True,0.9987304596818434,0.5507989452086691,2.648512610006982
1.0,0,5,False,1,False,1.076166944706773,1.5725421070183052,0.9995953212303232
1.0,0,5,False,2,False,0.9785563268008111,0.5427809369897987,2.6333470112577078
1.0,0,5,False,3,False,0.9926204289292407,0.5878296970663962,2.4664853250402037
1.0,0,5,False,4,False,0.8967044939620142,0.7646872794994936,1.7128223846202413
1.0,0,5,False,5,False,1.041922512283017,0.8652449964892667,1.7589082046118967
1.0,0,5,False,6,False,0.9005195189112548,1.1916813795559111,1.1037731537368756
1.0,0,5,False,7,False,1.0268555652315556,1.151593714681777,1.3024375986101335
1.0,0,5,False,8,False,0.9852451960484874,1.2617969244332778,1.140516863398645
1.0,0,5,False,9,False,1.1026779337035737,1.511044019057105,1.0659047980013303
1.0,0,6,False,0,True,0.9892081180001494,0.558256064734358,2.600496098175911
1.0,0,6,False,1,False,1.0682659595653021,1.5414659726021334,1.0170620088447078
1.0,0,6,False,2,False,0.9850655591175956,0.5366205953528805,2.694013594112049
1.0,0,6,False,3,False,1.0056627113131904,0.6090857988988752,2.4231252213793097
1.0,0,6,False,4,False,0.8988721335237603,0.7908511747611578,1.6680349161701449
1.0,0,6,False,5,False,1.0468859262586736,0.8466001723909593,1.8147758588294596
1.0,0,6,False,6,False,0.9003829970037394,1.2335854993236797,1.0711739784286811
1.0,0,6,False,7,False,1.0301370088910913,1.1976550096529786,1.2623077224117454
1.0,0,6,False,8,False,0.9917367999836347,1.2473250806061473,1.166860015539134
1.0,0,6,False,9,False,1.083782890713095,1.43855463167683,1.1056506245464117
1.0,0,7,True,0,True,1.0089847923711066,0.5720565628966465,2.5949539759794527
1.0,0,7,True,1,False,1.0780237832547148,1.5609135580903402,1.0160930969726616
1.0,0,7,True,2,False,0.9794773422526344,0.5557465744838559,2.592994593021392
1.0,0,7,True,3,False,0.9919030957765391,0.556970958638384,2.6201171286046145
1.0,0,7,True,4,False,0.9020640433274613,0.7671605484512356,1.729956259663147
1.0,0,7,True,5,False,1.0124048543545596,0.8292960224702478,1.7960922875020324
1.0,0,7,True,6,False,0.9031824754369451,1.2099906944482162,1.098189996799734
1.0,0,7,True,7,False,1.0299172697673487,1.1531697731140735,1.3139931520218242
1.0,0,7,True,8,False,1.0034675205138408,1.2680869258620902,1.1642287150074333
1.0,0,7,True,9,False,1.09057493179469,1.5266083815449107,1.0510221765128822
1.0,0,8,True,0,True,1.007801991355572,0.5610162990419663,2.6368317119283184
1.0,0,8,True,1,False,1.0781694064724496,1.5028764569398303,1.0530437213604702
1.0,0,8,True,2,False,0.9877173981505308,0.5374718714454214,2.697488756249478
1.0,0,8,True,3,False,0.9843746925639695,0.6146631154444244,2.3507474126811045
1.0,0,8,True,4,False,0.8979485504738101,0.7738320813579428,1.7032853179762033
1.0,0,8,True,5,False,1.0323924769448396,0.8283472339597506,1.8294270007786466
1.0,0,8,True,6,False,0.8868667284937126,1.259986360421682,1.0331781150178667
1.0,0,8,True,7,False,1.0280050796813733,1.1727742980552407,1.2866591145350377
1.0,0,8,True,8,False,1.0050439569631877,1.2582195158913754,1.1724958637668024
1.0,0,8,True,9,False,1.0916803784281282,1.4908127674423661,1.0748678693440643
1.0,0,9,False,0,True,0.9936195983822765,0.5086242915859568,2.8613722577107135
1.0,0,9,False,1,False,1.088031045461022,1.638772057874848,0.9724651538303762
1.0,0,9,False,2,False,0.9688565665796637,0.5412516125771264,2.6218726601030946
1.0,0,9,False,3,False,0.9942725783184644,0.5785998424101048,2.516972450215437
1.0,0,9,False,4,False,0.8950979856102532,0.7625675064751216,1.7192680601462194
1.0,0,9,False,5,False,1.0282273317379957,0.8259672784208565,1.8233817862393842
1.0,0,9,False,6,False,0.9013020572374264,1.1799252479411237,1.118837925219352
1.0,0,9,False,7,False,1.0255358348274801,1.1514973047799062,1.3044854085831985
1.0,0,9,False,8,False,0.9907935418709028,1.2598233226056008,1.1519266721508394
1.0,0,9,False,9,False,1.1142639681301074,1.5529715353293552,1.050935112912332
1.0,0,10,False,0,True,0.9930856417359416,0.5152559691471188,2.8238126587146093
1.0,0,10,False,1,False,1.0910959756582321,1.6215094570282562,0.9858609798791486
1.0,0,10,False,2,False,0.9671019573002814,0.5390282278354414,2.6286512018834824
1.0,0,10,False,3,False,0.9871715190482202,0.5871676998253341,2.463216980173899
1.0,0,10,False,4,False,0.8982005744187428,0.758946568893559,1.733941081308954
1.0,0,10,False,5,False,1.0271657181168485,0.8683844706859424,1.7330084391971838
1.0,0,10,False,6,False,0.9030915266958012,1.15834748352611,1.1422603915080396
1.0,0,10,False,7,False,1.040466933455468,1.172924469003732,1.2996620743885825
1.0,0,10,False,8,False,0.9860405944590429,1.27413678199554,1.1338378519212102
1.0,0,10,False,9,False,1.106579855682555,1.5042988720589663,1.0777569690692685
1.0,0,11,False,0,True,0.9959469045433907,0.5257510958308814,2.7700123529842213
1.0,0,11,False,1,False,1.0876396494722758,1.6011651638191142,0.9932866644205692
1.0,0,11,False,2,False,0.9845008394796259,0.5445497702380214,2.643651587046347
1.0,0,11,False,3,False,0.9953409063292602,0.5754733917457454,2.5291367450120785
1.0,0,11,False,4,False,0.8936404294472576,0.7624132908369051,1.7139496365509341
1.0,0,11,False,5,False,1.0313412680507414,0.8700789044295049,1.7332829427051721
1.0,0,11,False,6,False,0.8982025216826891,1.2085785070268655,1.0867386413698943
1.0,0,11,False,7,False,1.0268510403195332,1.1531585223340992,1.3020994058040902
1.0,0,11,False,8,False,0.982806026229814,1.245716776855092,1.1536503538216634
1.0,0,11,False,9,False,1.1037313531689796,1.5131145768837708,1.0666385374869367
1.0,0,12,False,0,True,0.9910879697544164,0.5377465052471591,2.6804239275289055
1.0,0,12,False,1,False,1.0784519706841438,1.587318755292221,0.988110555900781
1.0,0,12,False,2,False,0.9817518187636989,0.5206093223435905,2.7425758796846327
1.0,0,12,False,3,False,1.0046379588792596,0.6116235447884938,2.3888796240042764
1.0,0,12,False,4,False,0.897341008629836,0.7445658792232588,1.7527632691899966
1.0,0,12,False,5,False,1.0467392257676316,0.8861483666245403,1.717912090688651
1.0,0,12,False,6,False,0.901182976533506,1.2382953245822428,1.0584189925162644
1.0,0,12,False,7,False,1.0193876364085732,1.1627034472472657,1.2750854208916762
1.0,0,12,False,8,False,0.9847591261640513,1.2261476962041553,1.1680356710498827
1.0,0,12,False,9,False,1.0946596863849465,1.4848411584470733,1.0721807493428408
1.0,0,13,False,0,True,0.9942226211456677,0.528586090919498,2.761887445037514
1.0,0,13,False,1,False,1.0636374292412063,1.4578805668639276,1.071296611726154
1.0,0,13,False,2,False,0.9854376587171922,0.5501399293212988,2.630231982048673
1.0,0,13,False,3,False,1.005239135255865,0.5889203338453692,2.5064030185697526
1.0,0,13,False,4,False,0.9021629426696428,0.787935921517508,1.6812494314559225
1.0,0,13,False,5,False,1.0387870913751036,0.8700728829828964,1.7531092341807528
1.0,0,13,False,6,False,0.894432766685741,1.2171514125848983,1.0790489835370112
1.0,0,13,False,7,False,1.040015537955157,1.2475532497907393,1.2241053683092635
1.0,0,13,False,8,False,0.9941647163949779,1.2986881851357999,1.1240652519516712
1.0,0,13,False,9,False,1.0819004793755724,1.453071427038064,1.0932976557462843
1.0,0,14,False,0,True,0.999528969559089,0.5214164742476834,2.8036701625880918
1.0,0,14,False,1,False,1.0719261109325156,1.5870280110899013,0.9878625928243009
1.0,0,14,False,2,False,0.9806209846929944,0.5385815748891138,2.66296815686205
1.0,0,14,False,3,False,0.9984552535918296,0.5670381372055762,2.575328416061862
1.0,0,14,False,4,False,0.8982780978758129,0.7857054893145754,1.6721194781526192
1.0,0,14,False,5,False,1.044429882044561,0.8375617768826616,1.8238063431740812
1.0,0,14,False,6,False,0.8932305942283439,1.2182328383804595,1.072382134711093
1.0,0,14,False,7,False,1.0348066965058482,1.166543498987081,1.2974020365156564
1.0,0,14,False,8,False,0.9818084522367022,1.276255285893505,1.1251372296483826
1.0,0,14,False,9,False,1.09691396918816,1.5016369131094427,1.0683754853897984
1.0,0,15,False,0,True,0.9888695819668392,0.5967639263727095,2.4133405149378695
1.0,0,15,False,1,False,1.0681728093430183,1.5652198852677188,0.9939128613796382
1.0,0,15,False,2,False,0.9858658461788008,0.5148798404636347,2.78865046334581
1.0,0,15,False,3,False,1.001432373112464,0.5995476773741997,2.4326523606249424
1.0,0,15,False,4,False,0.8983387148280878,0.7568940572087481,1.7285707890185793
1.0,0,15,False,5,False,1.0357893562988834,0.8994579425981286,1.6771531851139798
1.0,0,15,False,6,False,0.9102719471211115,1.1821163044716214,1.1214840463048785
1.0,0,15,False,7,False,1.0230492546165115,1.1874455029784523,1.254772536777172
1.0,0,15,False,8,False,0.9947099822081193,1.2535635019296734,1.155665865353471
1.0,0,15,False,9,False,1.093500134326164,1.4441113613351138,1.1028090070870575
1.0,0,16,False,0,True,0.9895803842578929,0.5262315287039534,2.7151831372751674
1.0,0,16,False,1,False,1.0767641206490681,1.6214897464266078,0.9588071936340223
1.0,0,16,False,2,False,0.9774390594535612,0.5438135340896875,2.595162713351227
1.0,0,16,False,3,False,0.9959708241141854,0.5919792260081588,2.429210024154722
1.0,0,16,False,4,False,0.9000440996351211,0.7546400779752269,1.7220622145210662
1.0,0,16,False,5,False,1.0395826784006559,0.8515619837904935,1.7626564897295687
1.0,0,16,False,6,False,0.9030958104144464,1.1799758821132693,1.1050593702866132
1.0,0,16,False,7,False,1.0325305436557335,1.1932527544577647,1.249382379624031
1.0,0,16,False,8,False,0.9739365345941702,1.2315330433678762,1.1418511754100575
1.0,0,16,False,9,False,1.1110548428351918,1.5055222230669616,1.065548546151895
1.0,0,17,False,0,True,0.9833180976150054,0.5934503409039587,2.428315138171727
1.0,0,17,False,1,False,1.060105032189465,1.5022295020820635,1.0342082739658698
1.0,0,17,False,2,False,0.9874456101636209,0.5305082331393823,2.7278246767655623
1.0,0,17,False,3,False,1.0071024013012202,0.570147719503441,2.5886994925868354
1.0,0,17,False,4,False,0.8993439707963804,0.8017407761998501,1.64394488759971
1.0,0,17,False,5,False,1.0531073610284836,0.8535131680784961,1.808247283070415
1.0,0,17,False,6,False,0.9064764783113356,1.2126604077990026,1.0955009019096196
1.0,0,17,False,7,False,1.0376276343060404,1.230365332585802,1.2359555225193934
1.0,0,17,False,8,False,0.9788789610770088,1.2342575835749727,1.162300939139697
1.0,0,17,False,9,False,1.0865956377182096,1.4711269361330306,1.082463368554103
1.0,0,18,False,0,True,0.9958505824288901,0.50743548839253,2.870394066846046
1.0,0,18,False,1,False,1.076677764230184,1.6055217291015824,0.980839021485976
1.0,0,18,False,2,False,0.9734144221892125,0.5651971689411414,2.5189872990347015
1.0,0,18,False,3,False,0.9894476632943093,0.612382951138391,2.363186053256693
1.0,0,18,False,4,False,0.9040080995185792,0.7318864116942836,1.80657841337211
1.0,0,18,False,5,False,1.028313489827278,0.8592410072387036,1.7504056908617696
1.0,0,18,False,6,False,0.9004504092663534,1.198667990347534,1.0987251632465185
1.0,0,18,False,7,False,1.0513926617582872,1.1745551006381165,1.3092413866191566
1.0,0,18,False,8,False,0.9834076488383388,1.2301043834275553,1.1692834287288763
1.0,0,18,False,9,False,1.0970373590093747,1.5150077690801618,1.0590945583081048
1.0,0,19,False,0,True,0.9899773393343546,0.5486282880890223,2.6239503501746837
1.0,0,19,False,1,False,1.0609163284804637,1.4987166357481385,1.0293668116995103
1.0,0,19,False,2,False,0.9826861663121611,0.5412394079677861,2.640182744020216
