alpha,seed,client_id,is_malicious,l2_bn1,l2_conv1,l2_layer1,l2_layer2,l2_layer3,l2_layer4,l2_linear,update_l2_to_global,l2_to_median,n_participations,n_local_samples
1.0,0,0,False,7.868019606916711,0.0127462057015351,9.7467153654252,18.06758641165204,23.049147986318253,35.59042244177022,0.009273669389073955,47.762718200683594,1.5943413972854614,90,500
1.0,0,1,False,7.858053068258675,0.013054929610823236,9.676622195459835,18.162348311127555,23.157660660865485,35.716465854635516,0.00832132762263183,47.92905044555664,1.51085364818573,104,500
1.0,0,2,False,7.867021038980174,0.014010421819660829,9.725883569077638,17.99133348786232,23.074607655079753,35.57153477987668,0.010155368587060445,47.727718353271484,1.54856276512146,107,500
1.0,0,3,False,7.877182066882214,0.012936561976734129,9.40285626864497,17.588278233826486,22.95586361379302,35.73610254193311,0.010598107315328616,47.57987976074219,2.704390287399292,97,500
1.0,0,4,False,7.869637633871082,0.013323700015619394,9.66310966569067,17.972098274292108,23.076586055793598,35.70632495752146,0.008065885482996622,47.809696197509766,2.0298545360565186,107,500
1.0,0,5,False,7.86785414029607,0.005944164112676798,9.658468413975715,17.951048552023273,23.081161349978625,35.616722154362144,0.003540803558652145,47.73591613769531,1.4951120615005493,109,500
1.0,0,6,False,7.857557980901599,0.012954776503151421,9.573585686742655,17.88464237476297,23.125120612432195,35.718884615530065,0.0061730169014631645,47.78974533081055,1.7482539415359497,98,500
1.0,0,7,True,7.897318212663608,0.0062224158579347,9.252938666896847,17.831005272642738,23.20063922555218,35.39719358386045,0.007308856103150243,47.50955581665039,3.711282968521118,89,500
1.0,0,8,True,7.874614189551809,0.013455765358226845,9.736690293415636,18.6378263934339,23.303138332853827,35.45381367006865,0.007307228940584638,48.00186538696289,3.41198468208313,103,500
1.0,0,9,False,7.880420218312882,0.012953895255544213,9.708003722652778,18.131980528494836,23.119627004393905,35.64023070971756,0.010489391834881956,47.85239028930664,1.7980045080184937,90,500
1.0,0,10,False,7.884817093479692,0.015798580584624657,9.523331787774932,17.880803310924023,23.085287651626253,35.751398288367845,0.013825784147042714,47.78777313232422,2.0463411808013916,106,500
1.0,0,11,False,7.877424079423393,0.008449162631282774,9.68421299534633,18.111815225980415,23.150355899396793,35.688442830532445,0.009538829456055165,47.89023971557617,1.919878602027893,96,500
1.0,0,12,False,7.8606296006245575,0.0050516845996177165,9.852096829116231,18.232609178553815,23.194829253910417,35.823484326146044,0.0047556443848638325,48.08951187133789,2.1968111991882324,100,500
1.0,0,13,False,7.853328753365823,0.006356458738851001,9.761772025582989,18.320953446835727,23.20136550816005,35.70573460881515,0.004902950368848489,48.01899719238281,1.9945545196533203,89,500
1.0,0,14,False,7.873137111804401,0.013417919863690937,9.821184938065423,18.252914256701477,23.226546075503467,35.710301602368475,0.008767513135054635,48.02397537231445,1.811467170715332,95,500
1.0,0,15,False,7.864194539809298,0.005644515907454841,9.584514113314,17.85797901962538,23.052497813608106,35.77033864136345,0.004837753870729683,47.7864875793457,1.8853522539138794,105,500
1.0,0,16,False,7.86341155716914,0.006693058386760758,9.525803563147683,17.91788224035796,23.102111513195993,35.68215555006639,0.004749565722592711,47.75504684448242,1.4678435325622559,105,500
1.0,0,17,False,7.873211076557687,0.008327895646667726,9.612041535016418,17.7471994595045,23.041163900231012,35.72018648808948,0.006464259878063977,47.70916748046875,2.3085460662841797,119,500
1.0,0,18,False,7.882001158337071,0.013271974316136517,9.528217059349547,17.765424086147135,23.106976419465582,35.722783642342165,0.013305698017281552,47.734317779541016,2.4137227535247803,83,500
1.0,0,19,False,7.855949441447454,0.00818379799080405,9.760265596050763,18.036266529559676,23.1617994312783,35.60365251973735,0.007262451987368514,47.81598663330078,1.7015020847320557,95,500
1.0,0,20,False,7.872600859810301,0.004493729367899663,9.699482739408705,18.030278964081514,23.13525897997933,35.81383015372699,0.00509311268277412,47.94807815551758,2.252764940261841,106,500
1.0,0,21,False,7.880365937678783,0.03253899827861516,9.625246267239875,17.965645344612415,23.091402887361888,35.69411996492649,0.03507716182255142,47.799068450927734,2.3391976356506348,93,500
