alpha,seed,AUC(分子 tr(Σ)),AUC(分母 ||μ-μg||²),AUC(比值 J = 当前指标)
1.0,0,0.89,0.7811111111111111,0.7666666666666667
0.5,0,0.8366666666666667,0.5622222222222222,0.25222222222222224
0.1,0,0.8611111111111112,0.6222222222222222,0.19666666666666666
0.05,0,0.6066666666666667,0.55,0.29777777777777775
