alpha,seed,n_clients,M_nan_fraction,mad_zero_fraction,valid_t_median,valid_t_min,valid_classes_median,z_abs_max,z_gt_100_count,z_inf_count,A_nan_count
1.0,0,100,0.036000000536441805,0.0,10.0,10,10.0,9.754650115966797,0,0,0
0.5,0,100,0.12600000239908696,0.0,10.0,10,9.0,13.27570629119873,0,0,0
0.1,0,100,0.35500000543892385,0.0,10.0,0,7.0,36.999813079833984,0,0,1
0.05,0,100,0.38300000458955763,0.0,10.0,0,7.0,12.288909912109375,0,0,2
