defense,delta_t,n,asr_global_targeted_mean,asr_personalized_targeted_mean,acc_global_mean,acc_personalized_mean
flame,0,5,0.14826427771556547,0.11096304591265391,0.7138857782754758,0.5729115341545353
flame,1,8,0.12695968645016795,0.11196108622620377,0.5742581187010078,0.4797732362821948
flame,2,3,0.09947741694662181,0.07577454273982824,0.7110862262038075,0.5927211646136618
flame,3,3,0.09257185516983946,0.13646883165360202,0.5479656588279208,0.4225270623366928
flame,4,6,0.09070548712206043,0.08398656215005595,0.6686263531168346,0.5158921239268383
flame,5,1,0.0296752519596864,0.0889137737961926,0.7340425531914894,0.5725643896976484
flame,6,1,0.0912653975363941,0.0862821948488241,0.7396416573348265,0.6218365061590145
flame,8,1,0.1114221724524076,0.0848264277715565,0.7413213885778276,0.6227323628219484
flame,9,3,0.09518477043673008,0.03954833893243743,0.43038447181784245,0.3781261664800299
flame,10,2,0.15537513997760355,0.07830347144456885,0.6979283314669653,0.5697648376259798
flame,11,3,0.095371407241508,0.0720791340052258,0.6774916013437849,0.5067189249720044
flame,12,3,0.10582306830907047,0.09010824934677114,0.7416946621873833,0.5846771183277343
flame,13,1,0.2340425531914893,0.0933370660694288,0.6763717805151176,0.4853303471444569
flame,14,3,0.07017543859649117,0.055244494214259,0.540313549832027,0.4697088465845465
flame,19,1,0.1360582306830907,0.0312430011198208,0.5436730123180291,0.3083426651735722
flame,22,1,0.1198208286674132,0.1360022396416573,0.7586786114221724,0.6133258678611423
flame,24,2,0.1587346024636058,0.06167413213885775,0.6937290033594625,0.5232082866741322
flame,34,2,0.13185890257558788,0.1033594624860022,0.6475363941769317,0.562821948488242
flame,44,1,0.2273236282194848,0.1066629339305711,0.70996640537514,0.6143896976483763
