run_id,seed,label,rounds_since_attack_stopped,asr,asr_at_stop
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,25,0.4821428571428572,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,30,0.4,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,35,0.4308035714285714,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,40,0.4241071428571429,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,45,0.4986607142857143,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,50,0.4236607142857143,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,55,0.3924107142857143,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,60,0.4357142857142858,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,65,0.3875,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,70,0.4138392857142857,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,75,0.4236607142857143,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,80,0.4366071428571428,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,85,0.4540178571428572,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,90,0.471875,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,95,0.4125,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,100,0.4058035714285714,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,105,0.3883928571428571,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,110,0.4053571428571428,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,115,0.390625,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,120,0.4589285714285714,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,125,0.4504464285714286,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,130,0.3526785714285714,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,135,0.3678571428571427,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,140,0.4026785714285714,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,145,0.4227678571428571,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,150,0.4111607142857143,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,155,0.3808035714285714,0.6258928571428571
fedavg_attack_a0.5_s0_e1b_persist_s0,0,B: fully frozen trigger,160,0.3745535714285714,0.6258928571428571
