defense,delta_t,n,asr_global_targeted_mean,asr_personalized_targeted_mean,acc_global_mean,acc_personalized_mean
flame,0,13,0.21634077009216984,0.150874321646998,0.6842966663795332,0.5398871565164959
flame,1,11,0.2076249618242899,0.12439173368624652,0.5596559095999186,0.4591163595642879
flame,2,5,0.39249720044792824,0.18520716685330346,0.6847704367301233,0.5525419932810749
flame,3,4,0.18015117581187007,0.17225643896976478,0.5345744680851063,0.46392777155655096
flame,4,6,0.23824188129899213,0.13861515490854792,0.6646136618141097,0.5391750653228816
flame,5,2,0.26287793952967525,0.1844904815229563,0.6998880179171332,0.5893337066069428
flame,6,1,0.3208286674132138,0.1783314669652855,0.7194848824188129,0.5881858902575589
flame,8,2,0.19372900335946247,0.08980963045912649,0.5769876819708846,0.4437010078387458
flame,9,3,0.14408361328854044,0.10782008212019407,0.5994774169466218,0.4888951101157149
flame,10,1,0.1478163493840985,0.13505039193729,0.5957446808510638,0.5379059350503919
flame,11,1,0.0862262038073908,0.103023516237402,0.6612541993281076,0.4806830907054872
flame,14,1,0.3275475923852183,0.1569988801791713,0.5251959686450167,0.5073348264277715
