defense,delta_t,n,asr_global_targeted_mean,asr_personalized_targeted_mean,acc_global_mean,acc_personalized_mean
invariant,0,5,0.23449048152295632,0.12649496080627096,0.7076147816349385,0.5586338185890257
invariant,1,8,0.1366181410974244,0.1061170212765957,0.6076427771556552,0.46158314669652856
invariant,2,3,0.18756998880179165,0.12185516983949234,0.7454273982829415,0.6075401269130273
invariant,3,3,0.13269876819708845,0.1386898096304591,0.5279955207166852,0.43359462486002237
invariant,4,6,0.12812616648002978,0.10552444942142587,0.7001679731243001,0.4733202687569989
invariant,5,1,0.1265397536394177,0.1221164613661814,0.7278835386338186,0.5523516237402016
invariant,6,1,0.2318029115341545,0.1146696528555431,0.7586786114221724,0.6143337066069429
invariant,8,1,0.2945128779395297,0.1052631578947368,0.7458006718924972,0.6011198208286674
invariant,9,3,0.04553938036580813,0.05882792086599473,0.4152668906308324,0.33725270623366926
invariant,10,2,0.1581746920492721,0.112094064949608,0.7242441209406495,0.5518197088465845
invariant,11,3,0.0720418066442702,0.07334826427771553,0.6571481896229937,0.48128032848077645
invariant,12,3,0.22396416573348263,0.11944755505785733,0.753826054497947,0.590313549832027
invariant,13,1,0.1724524076147816,0.0945128779395296,0.7486002239641658,0.4197088465845464
invariant,14,3,0.1272863008585293,0.07282568122433743,0.6332586786114222,0.41638671145949974
invariant,19,1,0.0414333706606942,0.0361702127659574,0.5375139977603584,0.2875699888017917
invariant,22,1,0.2793952967525196,0.1615341545352743,0.7687569988801792,0.6629339305711086
invariant,24,2,0.1416573348264277,0.07575587905935045,0.70996640537514,0.48303471444568863
invariant,34,2,0.18952967525195966,0.0684770436730123,0.6632138857782754,0.5160134378499439
invariant,44,1,0.2659574468085106,0.0727323628219484,0.7043673012318029,0.5549272116461366
