defense,delta_t,n,asr_global_targeted_mean,asr_personalized_targeted_mean,acc_global_mean,acc_personalized_mean
flame,0,30,0.4769130272489734,0.36406308324001485,0.6433743934303845,0.5282381485628965
flame,1,13,0.40373847876647423,0.2910328193642863,0.5692566112498925,0.4760530622792661
flame,2,4,0.6548152295632699,0.4611002239641657,0.7096864501679732,0.5815929451287793
flame,3,1,0.8208286674132139,0.8334266517357223,0.7737961926091825,0.6680851063829788
flame,4,1,0.406494960806271,0.5328107502799553,0.685330347144457,0.6151175811870102
flame,6,1,0.2502799552071668,0.17010078387458,0.5834266517357223,0.5511198208286674
