signal,mean_rank,pooled_auc,n_malicious_observations,n_rounds_used,n_rounds_no_malicious,n_rounds_all_malicious,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10
l2_to_median,2.641472868217054,0.8528708133971292,516,335,165,0,171,133,79,65,28,18,9,4,4,5
update_norm,2.641472868217054,0.8528708133971292,516,335,165,0,167,137,82,63,28,14,11,7,3,4
cos_to_median,5.209302325581396,0.5358851674641149,516,335,165,0,50,48,53,69,63,61,53,45,45,29
