round,defense,tau,alpha,alpha_dirichlet,seed,n_malicious_in_round,n_selected,tpr,fpr,precision,influence_malicious_mean,influence_benign_mean,trim_survival_malicious_mean,trim_survival_benign_mean,mask_keep_ratio,zero_sign_ratio,effective_trim_n,malicious_rank_l2_mean,malicious_rank_cos_mean,flame_n_clusters,flame_n_noise,flame_max_cluster_size,flame_fallback_triggered,clip_rate_malicious,clip_rate_benign
219,invariant,0.2,0.25,0.5,0,2,10,,,,0.1094011360316336,0.14485606611241875,0.3176454757771443,0.4205886310557139,0.3444127002406543,1.8580976918342936e-06,4,3.0,6.5,,,,,,
220,invariant,0.2,0.25,0.5,0,2,10,,,,0.13800552249733974,0.1410818068177016,0.39299184764742373,0.4017520380881441,0.3511663748840731,2.062284251376524e-06,4,5.5,1.5,,,,,,
221,invariant,0.2,0.25,0.5,0,4,10,,,,0.12282650782464927,0.15250440788496636,0.34935268776893924,0.4337648748207072,0.35158311965209876,1.8172603799258476e-06,4,3.0,2.75,,,,,,
222,invariant,0.2,0.25,0.5,0,1,10,,,,0.10531694783148257,0.14451499189221398,0.2996317291212096,0.4111520300976433,0.3514879687153521,2.2460521549645307e-06,4,1.0,9.0,,,,,,
223,invariant,0.2,0.25,0.5,0,0,10,,,,,0.13875979533972765,,0.4,0.3468994883493191,1.4905618846582795e-06,4,,,,,,,,
224,invariant,0.2,0.25,0.5,0,0,10,,,,,0.1416678203207281,,0.4,0.3541695508018202,2.3889827466440917e-06,4,,,,,,,,
225,invariant,0.2,0.25,0.5,0,0,10,,,,,0.13963706247414487,,0.4,0.34909265618536217,2.2664708109187538e-06,4,,,,,,,,
226,invariant,0.2,0.25,0.5,0,1,10,,,,0.134472243182177,0.1406315555970205,0.3841635354657761,0.4017596071704693,0.3500390608888404,1.8376790358800707e-06,4,4.0,7.0,,,,,,
227,invariant,0.2,0.25,0.5,0,0,10,,,,,0.1439446638088716,,0.4,0.35986165952217897,1.8785163477885167e-06,4,,,,,,,,
228,invariant,0.2,0.25,0.5,0,1,10,,,,0.10837466405287592,0.14682368144702823,0.30319090504059026,0.4107565661066011,0.35744694926903253,2.2256334990103075e-06,4,1.0,6.0,,,,,,
229,invariant,0.2,0.25,0.5,0,1,10,,,,0.11280485934809914,0.14152878814573952,0.32542273764354823,0.40828636248405015,0.34664098816493866,1.8172603799258476e-06,4,1.0,5.0,,,,,,
230,invariant,0.2,0.25,0.5,0,2,10,,,,0.12116781680330482,0.13989611387170578,0.3559821148908766,0.4110044712772809,0.34037613614506396,1.8989350037427396e-06,4,3.0,2.0,,,,,,
231,invariant,0.2,0.25,0.5,0,0,10,,,,,0.13960896640355186,,0.4,0.3490224160088797,2.0418655954223007e-06,4,,,,,,,,
232,invariant,0.2,0.25,0.5,0,1,10,,,,0.08250825494982819,0.15297977628621323,0.22615437892369997,0.4193161801195889,0.3648315603814368,1.8580976918342936e-06,4,1.0,10.0,,,,,,
233,invariant,0.2,0.25,0.5,0,0,10,,,,,0.1369933365758159,,0.4,0.34248334143953973,2.3277267787814227e-06,4,,,,,,,,
234,invariant,0.2,0.25,0.5,0,1,10,,,,0.1081962080924347,0.14253589947739237,0.31112784079655625,0.40987468435593816,0.3477548258472415,1.9601909716054086e-06,4,3.0,7.0,,,,,,
235,invariant,0.2,0.25,0.5,0,0,10,,,,,0.13773224689748736,,0.4,0.34433061724371833,2.0418655954223007e-06,4,,,,,,,,
236,invariant,0.2,0.25,0.5,0,1,10,,,,0.10737480974006608,0.1415049566297448,0.3110241140243088,0.4098862095528546,0.3452298548519423,2.4706573704609838e-06,4,2.0,6.0,,,,,,
237,invariant,0.2,0.25,0.5,0,1,10,,,,0.12295436098225143,0.13816254580228782,0.359932103885221,0.4044519884571976,0.3416043183007105,1.7560044120631786e-06,4,4.0,7.0,,,,,,
238,invariant,0.2,0.25,0.5,0,0,10,,,,,0.14019882053675745,,0.4000000000000001,0.35049705134189363,2.0827029073307465e-06,4,,,,,,,,
239,invariant,0.2,0.25,0.5,0,1,10,,,,0.09853706850538634,0.14323071145226832,0.284047598337268,0.412883600184748,0.3469033678939504,2.0827029073307465e-06,4,4.0,2.0,,,,,,
240,invariant,0.2,0.25,0.5,0,2,10,,,,0.11391236249857034,0.14362973948070543,0.3309331203259144,0.4172667199185214,0.34421566021069605,1.4701432287040566e-06,4,3.0,3.5,,,,,,
