defense,delta_t,n,asr_global_targeted_mean,asr_personalized_targeted_mean,acc_global_mean,acc_personalized_mean
fedavg,0,13,0.7344732535102078,0.5673658368507192,0.6896804203635111,0.6139073132914118
fedavg,1,11,0.4820319657945637,0.4020767586277104,0.5703960093657743,0.5035427058943296
fedavg,2,5,0.9566629339305711,0.8209518477043674,0.7384098544232922,0.7014669652855543
fedavg,3,4,0.7063269876819709,0.6788913773796192,0.5897256438969765,0.5619680851063831
fedavg,4,6,0.6731056364315043,0.6432250839865622,0.6993281075027995,0.6208193355729749
fedavg,5,2,0.9787234042553191,0.9571668533034714,0.7628779395296752,0.7396696528555431
fedavg,6,1,0.992161254199328,0.9759238521836504,0.7715565509518477,0.7494960806270996
fedavg,8,2,0.5386338185890257,0.5008678611422172,0.5865061590145577,0.5311310190369541
fedavg,9,3,0.1873833519970138,0.1375326614408361,0.6069428891377379,0.4801231802911534
fedavg,10,1,0.1595744680851064,0.101063829787234,0.6024636058230683,0.5704367301231803
fedavg,11,1,0.0963045912653975,0.1429451287793953,0.7043673012318029,0.4772116461366181
fedavg,14,1,0.2648376259798432,0.1541993281075027,0.6349384098544233,0.5055991041433371
