round,defense,tau,alpha,alpha_dirichlet,seed,n_malicious_in_round,n_selected,tpr,fpr,youden_j,n_excluded,influence_malicious_mean,influence_benign_mean,trim_survival_malicious_mean,trim_survival_benign_mean,mask_keep_ratio,zero_sign_ratio,effective_trim_n,malicious_rank_l2_mean,malicious_rank_norm_mean,malicious_rank_cos_mean,flame_n_clusters,flame_n_noise,flame_max_cluster_size,flame_fallback_triggered,clip_rate_malicious,clip_rate_benign,precision
367,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.5,2.5,9.5,,,,,,,0.5
368,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
369,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
370,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
371,multi_krum,,,0.5,0,3,10,0.6666666666666666,0.0,0.6666666666666666,2,0.3333333333333333,1.0,,,,,-1,2.0,2.0,5.0,,,,,,,1.0
372,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.5,2.5,3.0,,,,,,,0.5
373,multi_krum,,,0.5,0,2,10,1.0,0.0,1.0,2,0.0,1.0,,,,,-1,1.5,1.5,9.0,,,,,,,1.0
374,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.5,2.5,6.5,,,,,,,0.5
375,multi_krum,,,0.5,0,3,10,0.6666666666666666,0.0,0.6666666666666666,2,0.3333333333333333,1.0,,,,,-1,2.0,2.0,3.6666666666666665,,,,,,,1.0
376,multi_krum,,,0.5,0,1,10,0.0,0.2222222222222222,-0.2222222222222222,2,1.0,0.7777777777777778,,,,,-1,4.0,4.0,7.0,,,,,,,0.0
377,multi_krum,,,0.5,0,1,10,0.0,0.2222222222222222,-0.2222222222222222,2,1.0,0.7777777777777778,,,,,-1,3.0,3.0,8.0,,,,,,,0.0
378,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.5,2.5,6.0,,,,,,,0.5
379,multi_krum,,,0.5,0,3,10,0.3333333333333333,0.14285714285714285,0.19047619047619047,2,0.6666666666666666,0.8571428571428571,,,,,-1,2.6666666666666665,2.6666666666666665,4.666666666666667,,,,,,,0.5
380,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
381,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.5,2.5,2.5,,,,,,,0.5
382,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,9.0,,,,,,,0.5
383,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
384,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,8.0,,,,,,,0.5
385,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
386,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,3.0,,,,,,,0.5
387,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,8.0,,,,,,,0.5
388,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
389,multi_krum,,,0.5,0,1,10,0.0,0.2222222222222222,-0.2222222222222222,2,1.0,0.7777777777777778,,,,,-1,3.0,3.0,6.0,,,,,,,0.0
390,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.5,2.5,6.5,,,,,,,0.5
391,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
392,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,8.0,,,,,,,0.5
393,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,9.0,,,,,,,0.5
394,multi_krum,,,0.5,0,3,10,0.6666666666666666,0.0,0.6666666666666666,2,0.3333333333333333,1.0,,,,,-1,2.0,2.0,5.0,,,,,,,1.0
395,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,5.0,,,,,,,0.5
396,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
397,multi_krum,,,0.5,0,2,10,1.0,0.0,1.0,2,0.0,1.0,,,,,-1,1.5,1.5,7.0,,,,,,,1.0
398,multi_krum,,,0.5,0,3,10,0.3333333333333333,0.14285714285714285,0.19047619047619047,2,0.6666666666666666,0.8571428571428571,,,,,-1,3.0,3.0,4.333333333333333,,,,,,,0.5
399,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,9.0,,,,,,,0.5
400,multi_krum,,,0.5,0,1,10,0.0,0.2222222222222222,-0.2222222222222222,2,1.0,0.7777777777777778,,,,,-1,3.0,3.0,4.0,,,,,,,0.0
401,multi_krum,,,0.5,0,3,10,0.6666666666666666,0.0,0.6666666666666666,2,0.3333333333333333,1.0,,,,,-1,2.0,2.0,5.0,,,,,,,1.0
402,multi_krum,,,0.5,0,4,10,0.5,0.0,0.5,2,0.5,1.0,,,,,-1,2.5,2.5,3.75,,,,,,,1.0
403,multi_krum,,,0.5,0,2,10,1.0,0.0,1.0,2,0.0,1.0,,,,,-1,1.5,1.5,8.5,,,,,,,1.0
404,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,9.0,,,,,,,0.5
405,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
406,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
407,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
408,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,7.0,,,,,,,0.5
409,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
410,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,3.0,,,,,,,0.5
411,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,5.0,,,,,,,0.5
412,multi_krum,,,0.5,0,2,10,0.0,0.25,-0.25,2,1.0,0.75,,,,,-1,3.5,3.5,5.5,,,,,,,0.0
413,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
414,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
415,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,9.0,,,,,,,0.5
416,multi_krum,,,0.5,0,1,10,0.0,0.2222222222222222,-0.2222222222222222,2,1.0,0.7777777777777778,,,,,-1,4.0,4.0,4.0,,,,,,,0.0
417,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,8.0,,,,,,,0.5
418,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,6.0,,,,,,,0.5
419,multi_krum,,,0.5,0,1,10,0.0,0.2222222222222222,-0.2222222222222222,2,1.0,0.7777777777777778,,,,,-1,3.0,3.0,6.0,,,,,,,0.0
420,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,9.0,,,,,,,0.5
421,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
422,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
423,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,9.0,,,,,,,0.5
424,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
425,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,9.0,,,,,,,0.5
426,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
427,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,9.0,,,,,,,0.5
428,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,9.0,,,,,,,0.5
429,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.5,2.5,8.5,,,,,,,0.5
430,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
431,multi_krum,,,0.5,0,2,10,1.0,0.0,1.0,2,0.0,1.0,,,,,-1,1.5,1.5,4.0,,,,,,,1.0
432,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,6.0,,,,,,,0.5
433,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,7.0,,,,,,,0.5
434,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
435,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
436,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.5,2.5,4.0,,,,,,,0.5
437,multi_krum,,,0.5,0,2,10,1.0,0.0,1.0,2,0.0,1.0,,,,,-1,1.5,1.5,7.5,,,,,,,1.0
438,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,8.0,,,,,,,0.5
439,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.5,2.5,5.5,,,,,,,0.5
440,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
441,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,5.0,,,,,,,0.5
442,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,10.0,,,,,,,0.5
443,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
444,multi_krum,,,0.5,0,2,10,1.0,0.0,1.0,2,0.0,1.0,,,,,-1,1.5,1.5,4.5,,,,,,,1.0
445,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
446,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
447,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,8.0,,,,,,,0.5
448,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
449,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,8.0,,,,,,,0.5
450,multi_krum,,,0.5,0,2,10,1.0,0.0,1.0,2,0.0,1.0,,,,,-1,1.5,1.5,8.5,,,,,,,1.0
451,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
452,multi_krum,,,0.5,0,3,10,0.6666666666666666,0.0,0.6666666666666666,2,0.3333333333333333,1.0,,,,,-1,2.0,2.0,4.666666666666667,,,,,,,1.0
453,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,9.0,,,,,,,0.5
454,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
455,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
456,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,6.0,,,,,,,0.5
457,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,9.0,,,,,,,0.5
458,multi_krum,,,0.5,0,3,10,0.3333333333333333,0.14285714285714285,0.19047619047619047,2,0.6666666666666666,0.8571428571428571,,,,,-1,3.0,3.0,3.3333333333333335,,,,,,,0.5
459,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,10.0,,,,,,,0.5
460,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.5,2.5,5.0,,,,,,,0.5
461,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.5,2.5,7.5,,,,,,,0.5
462,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.0,2.0,6.5,,,,,,,0.5
463,multi_krum,,,0.5,0,2,10,1.0,0.0,1.0,2,0.0,1.0,,,,,-1,1.5,1.5,9.0,,,,,,,1.0
464,multi_krum,,,0.5,0,2,10,1.0,0.0,1.0,2,0.0,1.0,,,,,-1,1.5,1.5,6.5,,,,,,,1.0
465,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,8.0,,,,,,,0.5
466,multi_krum,,,0.5,0,4,10,0.5,0.0,0.5,2,0.5,1.0,,,,,-1,2.5,2.5,4.5,,,,,,,1.0
467,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
468,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.5,2.5,7.0,,,,,,,0.5
469,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.5,2.5,7.0,,,,,,,0.5
470,multi_krum,,,0.5,0,3,10,0.6666666666666666,0.0,0.6666666666666666,2,0.3333333333333333,1.0,,,,,-1,2.0,2.0,5.666666666666667,,,,,,,1.0
471,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,8.0,,,,,,,0.5
472,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,7.0,,,,,,,0.5
473,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.5,2.5,7.5,,,,,,,0.5
474,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
475,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.5,2.5,6.5,,,,,,,0.5
476,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
477,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
478,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,5.0,,,,,,,0.5
479,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,7.0,,,,,,,0.5
480,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,4.0,,,,,,,0.5
481,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
482,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,6.0,,,,,,,0.5
483,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,4.0,,,,,,,0.5
484,multi_krum,,,0.5,0,1,10,0.0,0.2222222222222222,-0.2222222222222222,2,1.0,0.7777777777777778,,,,,-1,3.0,3.0,5.0,,,,,,,0.0
485,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
486,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
487,multi_krum,,,0.5,0,3,10,0.0,0.2857142857142857,-0.2857142857142857,2,1.0,0.7142857142857143,,,,,-1,4.0,4.0,2.6666666666666665,,,,,,,0.0
488,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,2.0,2.0,8.5,,,,,,,0.5
489,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,3.0,3.0,8.5,,,,,,,0.5
490,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,10.0,,,,,,,0.5
491,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,4.0,,,,,,,0.5
492,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,3.0,,,,,,,0.5
493,multi_krum,,,0.5,0,1,10,0.0,0.2222222222222222,-0.2222222222222222,2,1.0,0.7777777777777778,,,,,-1,3.0,3.0,7.0,,,,,,,0.0
494,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,5.0,,,,,,,0.5
495,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,2.0,2.0,7.0,,,,,,,0.5
496,multi_krum,,,0.5,0,2,10,1.0,0.0,1.0,2,0.0,1.0,,,,,-1,1.5,1.5,5.5,,,,,,,1.0
497,multi_krum,,,0.5,0,1,10,0.0,0.2222222222222222,-0.2222222222222222,2,1.0,0.7777777777777778,,,,,-1,3.0,3.0,5.0,,,,,,,0.0
498,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
499,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,8.0,,,,,,,0.5
500,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,1.0,1.0,8.0,,,,,,,0.5
