round,defense,tau,alpha,alpha_dirichlet,seed,n_malicious_in_round,n_selected,tpr,fpr,youden_j,n_excluded,influence_malicious_mean,influence_benign_mean,trim_survival_malicious_mean,trim_survival_benign_mean,mask_keep_ratio,zero_sign_ratio,effective_trim_n,malicious_rank_l2_mean,malicious_rank_norm_mean,malicious_rank_cos_mean,flame_n_clusters,flame_n_noise,flame_max_cluster_size,flame_fallback_triggered,clip_rate_malicious,clip_rate_benign,precision
1,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.18682416801123516,,0.39999999999999997,0.4670604200280879,1.4497245727498334e-06,4,,,,,,,,,,
2,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.2061131005688229,,0.39999999999999997,0.5152827514220573,1.7560044120631786e-06,4,,,,,,,,,,
3,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.2026329448479851,,0.4,0.5065823621199629,2.1847961871018617e-06,4,,,,,,,,,,
4,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.19586154681119805,,0.4,0.4896538670279952,2.2256334990103075e-06,4,,,,,,,,,,
5,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.19184119512843537,,0.4,0.47960298782108846,2.858611833591221e-06,4,,,,,,,,,,
6,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1760309481484567,,0.39999999999999997,0.44007737037114175,2.143958875193416e-06,4,,,,,,,,,,
7,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1818345018930136,,0.4,0.454586254732534,2.756518553820106e-06,4,,,,,,,,,,
8,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.17244339029729971,,0.4,0.4311084757432493,2.6748439300032138e-06,4,,,,,,,,,,
9,invariant,0.2,0.25,0.5,0,1,10,,,,,0.15756060495930582,0.16193404813382084,0.3902509493654086,0.4010832278482879,0.4037417595409233,2.3889827466440917e-06,4,4.0,5.0,9.0,,,,,,,
10,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.16639587445140175,,0.4,0.4159896861285044,2.756518553820106e-06,4,,,,,,,,,,
11,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.17388478405842023,,0.4,0.43471196014605057,2.654425274048991e-06,4,,,,,,,,,,
12,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.16363020833971414,,0.4,0.4090755208492854,2.71568124191166e-06,4,,,,,,,,,,
13,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1669520786395948,,0.4,0.417380196598987,2.491076026415207e-06,4,,,,,,,,,,
14,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.16846020056837369,,0.4,0.42115050142093424,2.8177745216827748e-06,4,,,,,,,,,,
15,invariant,0.2,0.25,0.5,0,1,10,,,,,0.1863646470920974,0.18053055961387915,0.41159640811339376,0.398711510209623,0.45278492090425243,2.71568124191166e-06,4,3.0,10.0,8.0,,,,,,,
16,invariant,0.2,0.25,0.5,0,1,10,,,,,0.1674506285147123,0.1694961152363718,0.3956502545593838,0.40048330504895735,0.42322891641051463,2.797355865728552e-06,4,7.0,7.0,4.0,,,,,,,
17,invariant,0.2,0.25,0.5,0,1,10,,,,,0.15037250328628496,0.1540426368729545,0.3914023573746672,0.400955293625037,0.38418905878571885,2.7360998978658827e-06,4,5.0,5.0,5.0,,,,,,,
18,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.16970263494587626,,0.4,0.4242565873646907,2.3277267787814227e-06,4,,,,,,,,,,
19,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.15539152568605663,,0.4,0.3884788142151416,2.756518553820106e-06,4,,,,,,,,,,
20,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.15682426193705254,,0.4,0.39206065484263136,2.71568124191166e-06,4,,,,,,,,,,
21,invariant,0.2,0.25,0.5,0,1,10,,,,,0.14887939519470972,0.1566544205065883,0.3820434664180491,0.40199517039799454,0.38969229493850105,2.797355865728552e-06,4,2.0,8.0,10.0,,,,,,,
22,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.15653260185540244,,0.4,0.3913315046385061,3.021961081225005e-06,4,,,,,,,,,,
23,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.15136259816779316,,0.39999999999999997,0.3784064954194829,2.429820058552538e-06,4,,,,,,,,,,
24,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.15708970446445744,,0.39999999999999997,0.3927242611611436,2.7360998978658827e-06,4,,,,,,,,,,
25,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.15064859860638588,,0.4,0.3766214965159647,2.695262585957437e-06,4,,,,,,,,,,
26,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1552149451493645,,0.4,0.3880373628734113,2.879030489545444e-06,4,,,,,,,,,,
27,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.15684198533042082,,0.4,0.39210496332605205,2.879030489545444e-06,4,,,,,,,,,,
28,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1554871666705462,,0.39999999999999997,0.3887179166763655,2.3889827466440917e-06,4,,,,,,,,,,
