bad_client_num,poison_rate,seed,tier,asr,source_column
4,1.0,0,all,0.3139880952380952,asr_paper_all
4,1.0,0,malicious,0.9965277777777777,asr_paper_malicious
4,1.0,1,benign,0.20208333333333328,asr_paper_benign
4,1.0,1,all,0.4300595238095238,asr_paper_all
4,1.0,1,malicious,1.0,asr_paper_malicious
4,1.0,2,benign,0.02743055555555553,asr_paper_benign
4,1.0,2,all,0.30530753968253965,asr_paper_all
4,1.0,2,malicious,1.0,asr_paper_malicious
8,0.1,0,benign,0.9378472222222222,asr_paper_benign
8,0.1,0,all,0.9646990740740741,asr_paper_all
8,0.1,0,malicious,0.998263888888889,asr_paper_malicious
8,0.1,1,benign,0.970138888888889,asr_paper_benign
8,0.1,1,all,0.9830246913580248,asr_paper_all
8,0.1,1,malicious,0.9991319444444446,asr_paper_malicious
8,0.1,2,benign,0.9805555555555555,asr_paper_benign
8,0.1,2,all,0.9891975308641975,asr_paper_all
8,0.1,2,malicious,1.0,asr_paper_malicious
8,0.25,0,benign,0.5833333333333334,asr_paper_benign
8,0.25,0,all,0.7669477513227513,asr_paper_all
8,0.25,0,malicious,0.9964657738095238,asr_paper_malicious
8,0.5,0,benign,0.2941964285714285,asr_paper_benign
8,0.5,0,all,0.6071428571428572,asr_paper_all
8,0.5,0,malicious,0.9983258928571429,asr_paper_malicious
8,1.0,0,benign,0.12544642857142854,asr_paper_benign
8,1.0,0,all,0.5139715608465608,asr_paper_all
8,1.0,0,malicious,0.9996279761904763,asr_paper_malicious
16,0.1,0,benign,0.9996527777777778,asr_paper_benign
16,0.1,0,all,0.999866452991453,asr_paper_all
16,0.1,0,malicious,1.0,asr_paper_malicious
16,0.1,1,benign,0.9961805555555556,asr_paper_benign
16,0.1,1,all,0.9982638888888888,asr_paper_all
16,0.1,1,malicious,0.9995659722222222,asr_paper_malicious
16,0.1,2,benign,1.0,asr_paper_benign
16,0.1,2,all,1.0,asr_paper_all
16,0.1,2,malicious,1.0,asr_paper_malicious
16,0.25,0,benign,0.7147321428571428,asr_paper_benign
16,0.25,0,all,0.8847870879120879,asr_paper_all
16,0.25,0,malicious,0.9910714285714285,asr_paper_malicious
16,0.5,0,benign,0.42366071428571433,asr_paper_benign
16,0.5,0,all,0.7736950549450551,asr_paper_all
16,0.5,0,malicious,0.9924665178571429,asr_paper_malicious
16,1.0,0,benign,0.055654761904761874,asr_paper_benign
16,1.0,0,all,0.636790293040293,asr_paper_all
16,1.0,0,malicious,1.0,asr_paper_malicious
32,0.1,0,benign,1.0,asr_paper_benign
32,0.1,0,all,1.0,asr_paper_all
32,0.1,0,malicious,1.0,asr_paper_malicious
32,0.1,1,benign,0.9965277777777777,asr_paper_benign
32,0.1,1,all,0.9985945767195769,asr_paper_all
32,0.1,1,malicious,0.999240451388889,asr_paper_malicious
32,0.1,2,benign,0.9975694444444444,asr_paper_benign
32,0.1,2,all,0.9907407407407408,asr_paper_all
32,0.1,2,malicious,0.9886067708333335,asr_paper_malicious
32,0.25,0,benign,0.9149925595238096,asr_paper_benign
32,0.25,0,all,0.9795386904761904,asr_paper_all
32,0.25,0,malicious,0.9956752232142857,asr_paper_malicious
32,0.5,0,benign,0.77734375,asr_paper_benign
32,0.5,0,all,0.9524925595238095,asr_paper_all
32,0.5,0,malicious,0.9962797619047619,asr_paper_malicious
32,1.0,0,benign,0.05078124999999994,asr_paper_benign
32,1.0,0,all,0.81015625,asr_paper_all
32,1.0,0,malicious,1.0,asr_paper_malicious
