round,defense,tau,alpha,alpha_dirichlet,seed,n_malicious_in_round,n_selected,tpr,fpr,youden_j,n_excluded,influence_malicious_mean,influence_benign_mean,trim_survival_malicious_mean,trim_survival_benign_mean,mask_keep_ratio,zero_sign_ratio,effective_trim_n,malicious_rank_l2_mean,malicious_rank_norm_mean,malicious_rank_cos_mean,flame_n_clusters,flame_n_noise,flame_max_cluster_size,flame_fallback_triggered,clip_rate_malicious,clip_rate_benign,precision
35,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14895883231423823,,0.4,0.3723970807855955,2.756518553820106e-06,4,,,,,,,,,,
36,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.153155764533693,,0.4,0.38288941133423254,2.4502387145067606e-06,4,,,,,,,,,,
37,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.15312930195557634,,0.4,0.38282325488894087,2.6748439300032138e-06,4,,,,,,,,,,
38,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.15549557915679932,,0.39999999999999997,0.38873894789199837,2.6748439300032138e-06,4,,,,,,,,,,
39,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14905194138538946,,0.4,0.37262985346347366,2.3889827466440917e-06,4,,,,,,,,,,
40,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14654012000452477,,0.39999999999999997,0.3663503000113119,2.6748439300032138e-06,4,,,,,,,,,,
41,invariant,0.2,0.25,0.5,0,1,10,,,,,0.14539129398834083,0.15201954244004917,0.3842347965750563,0.40175168926943816,0.37839179398719586,2.0827029073307465e-06,4,7.0,2.0,2.0,,,,,,,
42,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14767490722783666,,0.39999999999999997,0.3691872680695917,2.4502387145067606e-06,4,,,,,,,,,,
43,invariant,0.2,0.25,0.5,0,1,10,,,,,0.1453155243552142,0.14724636581160547,0.3952731219839093,0.40052520866845454,0.3676332041649158,2.4502387145067606e-06,4,3.0,5.0,8.0,,,,,,,
44,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.15027951098135736,,0.39999999999999997,0.3756987774533934,2.91986780145389e-06,4,,,,,,,,,,
45,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14899174718763641,,0.4,0.37247936796909104,2.654425274048991e-06,4,,,,,,,,,,
46,invariant,0.2,0.25,0.5,0,1,10,,,,,0.14147580169139679,0.14843647789666461,0.3830388758958175,0.4018845693449092,0.36935102569034456,2.572750650232099e-06,4,5.0,6.0,9.0,,,,,,,
47,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1423342035764501,,0.4,0.35583550894112526,2.51149468236943e-06,4,,,,,,,,,,
48,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14947150392793684,,0.4,0.3736787598198421,2.348145434735646e-06,4,,,,,,,,,,
49,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1485578915859211,,0.4,0.37139472896480274,2.572750650232099e-06,4,,,,,,,,,,
50,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14341647401664775,,0.4,0.35854118504161936,2.429820058552538e-06,4,,,,,,,,,,
51,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1466006409007731,,0.4,0.36650160225193273,2.695262585957437e-06,4,,,,,,,,,,
52,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1434623751552328,,0.4,0.3586559378880821,2.286889466872977e-06,4,,,,,,,,,,
53,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14588647799011817,,0.4,0.36471619497529545,2.71568124191166e-06,4,,,,,,,,,,
54,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14821069276007548,,0.4,0.3705267319001887,2.6748439300032138e-06,4,,,,,,,,,,
55,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14771166080855427,,0.4,0.36927915202138567,2.797355865728552e-06,4,,,,,,,,,,
56,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.15826647244441125,,0.4,0.3956661811110281,2.368564090689869e-06,4,,,,,,,,,,
57,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1427539294682451,,0.4,0.35688482367061275,2.491076026415207e-06,4,,,,,,,,,,
58,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1475256060154994,,0.4000000000000001,0.3688140150387485,2.572750650232099e-06,4,,,,,,,,,,
59,invariant,0.2,0.25,0.5,0,1,10,,,,,0.13629689823544866,0.14638924869364978,0.37500862688214065,0.4027768192353177,0.3634500341195741,2.143958875193416e-06,4,1.0,1.0,6.0,,,,,,,
60,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.145615808286789,,0.4,0.36403952071697254,2.838193177636998e-06,4,,,,,,,,,,
61,invariant,0.2,0.25,0.5,0,2,10,,,,,0.1275668728333394,0.14282071565053384,0.3650766863461673,0.40873082841345815,0.3494248677177374,2.286889466872977e-06,4,1.5,1.5,6.0,,,,,,,
62,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.145587712216196,,0.4,0.36396928054049,2.634006618094768e-06,4,,,,,,,,,,
63,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14151059666988058,,0.4,0.35377649167470143,2.654425274048991e-06,4,,,,,,,,,,
64,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.15035693852473578,,0.4,0.37589234631183943,2.695262585957437e-06,4,,,,,,,,,,
65,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.15750126289387076,,0.4,0.3937531572346769,2.348145434735646e-06,4,,,,,,,,,,
66,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14720348129916555,,0.4,0.3680087032479139,2.51149468236943e-06,4,,,,,,,,,,
67,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14927376966367617,,0.39999999999999997,0.3731844241591904,2.776937209774329e-06,4,,,,,,,,,,
68,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1451379300628364,,0.39999999999999997,0.36284482515709093,2.51149468236943e-06,4,,,,,,,,,,
69,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1445381116255251,,0.4,0.3613452790638128,2.0827029073307465e-06,4,,,,,,,,,,
70,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14465384456747366,,0.4,0.36163461141868414,2.6748439300032138e-06,4,,,,,,,,,,
71,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1452401050172313,,0.4,0.36310026254307826,2.634006618094768e-06,4,,,,,,,,,,
72,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14970983048023453,,0.4,0.37427457620058635,2.5931693061863217e-06,4,,,,,,,,,,
73,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14620623414236134,,0.4,0.3655155853559033,2.2664708109187538e-06,4,,,,,,,,,,
74,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1451603089097622,,0.4,0.3629007722744055,2.3889827466440917e-06,4,,,,,,,,,,
75,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14731357869207073,,0.39999999999999997,0.36828394673017684,2.3073081228271996e-06,4,,,,,,,,,,
76,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14329241026306988,,0.4,0.3582310256576747,2.71568124191166e-06,4,,,,,,,,,,
77,invariant,0.2,0.25,0.5,0,1,10,,,,,0.12730982935487406,0.14825728364792432,0.34840618097218123,0.4057326465586465,0.3654063455465482,2.0214469394680776e-06,4,1.0,1.0,4.0,,,,,,,
78,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14137681363606847,,0.4,0.3534420340901712,2.634006618094768e-06,4,,,,,,,,,,
79,invariant,0.2,0.25,0.5,0,1,10,,,,,0.13507042832896038,0.1462326742265294,0.37230907637843286,0.4030767692912852,0.3627911240919313,2.205214843056085e-06,4,2.0,1.0,5.0,,,,,,,
80,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1424380936979452,,0.4,0.35609523424486295,2.51149468236943e-06,4,,,,,,,,,,
81,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.13958993621620255,,0.4,0.3489748405405063,2.797355865728552e-06,4,,,,,,,,,,
82,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1415543742682464,,0.4,0.35388593567061605,2.1847961871018617e-06,4,,,,,,,,,,
83,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.13940110448593787,,0.4,0.3485027612148447,1.8785163477885167e-06,4,,,,,,,,,,
84,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1433147891099957,,0.39999999999999997,0.3582869727749893,2.2460521549645307e-06,4,,,,,,,,,,
85,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14696548144536314,,0.4,0.36741370361340786,2.429820058552538e-06,4,,,,,,,,,,
86,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14018485417608478,,0.4,0.35046213544021193,2.368564090689869e-06,4,,,,,,,,,,
87,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14284614011853441,,0.4,0.35711535029633595,2.491076026415207e-06,4,,,,,,,,,,
88,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1433689393855863,,0.39999999999999997,0.35842234846396576,2.2664708109187538e-06,4,,,,,,,,,,
89,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1385483397386657,,0.4,0.3463708493466643,2.491076026415207e-06,4,,,,,,,,,,
90,invariant,0.2,0.25,0.5,0,1,10,,,,,0.1245596622432638,0.14105432810478566,0.3574040700915287,0.40473288110094124,0.3485121537965836,2.286889466872977e-06,4,1.0,1.0,8.0,,,,,,,
91,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14564129076941987,,0.4,0.3641032269235497,2.0214469394680776e-06,4,,,,,,,,,,
92,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14096868554085548,,0.4,0.3524217138521387,2.1235402192391928e-06,4,,,,,,,,,,
93,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14075780166216026,,0.4,0.3518945041554007,2.348145434735646e-06,4,,,,,,,,,,
94,invariant,0.2,0.25,0.5,0,1,10,,,,,0.13122182034813754,0.1425409015589318,0.3711838042487956,0.40320179952791163,0.3535224835946309,2.5319133383236527e-06,4,1.0,1.0,9.0,,,,,,,
95,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14753222166002855,,0.4,0.3688305541500714,2.552331994277876e-06,4,,,,,,,,,,
96,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14395470978760105,,0.4,0.35988677446900263,2.776937209774329e-06,4,,,,,,,,,,
97,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14245557206744203,,0.4,0.356138930168605,1.9806096275596317e-06,4,,,,,,,,,,
98,invariant,0.2,0.25,0.5,0,2,10,,,,,0.13129488741089465,0.14431638810582237,0.3705961553304331,0.4073509611673917,0.3542802199170921,2.3073081228271996e-06,4,2.0,2.0,3.5,,,,,,,
99,invariant,0.2,0.25,0.5,0,1,10,,,,,0.12076669588652202,0.14473050257019343,0.3393893025027963,0.40673452194413373,0.3558353047545657,2.2256334990103075e-06,4,1.0,1.0,10.0,,,,,,,
100,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14843194931599546,,0.4,0.3710798732899886,2.143958875193416e-06,4,,,,,,,,,,
101,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1459318890809604,,0.4,0.36482972270240094,2.3277267787814227e-06,4,,,,,,,,,,
102,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.13696834414092793,,0.4,0.34242086035231983,2.429820058552538e-06,4,,,,,,,,,,
103,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14631518809053307,,0.4,0.36578797022633264,2.4502387145067606e-06,4,,,,,,,,,,
104,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.142578247352415,,0.4,0.35644561838103744,2.572750650232099e-06,4,,,,,,,,,,
105,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.13874435883582628,,0.39999999999999997,0.34686089708956563,2.1847961871018617e-06,4,,,,,,,,,,
106,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14753042481830458,,0.4,0.36882606204576146,2.2460521549645307e-06,4,,,,,,,,,,
107,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14629444273608355,,0.4,0.3657361068402089,2.0827029073307465e-06,4,,,,,,,,,,
108,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.13968655729617793,,0.4,0.3492163932404448,2.368564090689869e-06,4,,,,,,,,,,
109,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14841561439123208,,0.4,0.3710390359780802,2.634006618094768e-06,4,,,,,,,,,,
110,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14390423487008222,,0.4,0.35976058717520554,2.0418655954223007e-06,4,,,,,,,,,,
111,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14150577786707536,,0.39999999999999997,0.3537644446676884,2.5319133383236527e-06,4,,,,,,,,,,
112,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1432315626683263,,0.4,0.3580789066708157,2.552331994277876e-06,4,,,,,,,,,,
113,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14491022121163488,,0.4000000000000001,0.3622755530290872,2.348145434735646e-06,4,,,,,,,,,,
114,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14043502354883589,,0.39999999999999997,0.35108755887208976,2.348145434735646e-06,4,,,,,,,,,,
115,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.13812216155158916,,0.4,0.3453054038789729,2.1847961871018617e-06,4,,,,,,,,,,
116,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14469125154518178,,0.4,0.36172812886295447,2.348145434735646e-06,4,,,,,,,,,,
117,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14259907438148828,,0.4,0.3564976859537207,2.2664708109187538e-06,4,,,,,,,,,,
118,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1423859036133262,,0.4,0.3559647590333155,2.429820058552538e-06,4,,,,,,,,,,
119,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.145444536600645,,0.39999999999999997,0.36361134150161245,2.001028283513855e-06,4,,,,,,,,,,
120,invariant,0.2,0.25,0.5,0,1,10,,,,,0.1147848011131345,0.14416205222454326,0.3251133950058418,0.4083207338882398,0.3530608177835059,2.1235402192391928e-06,4,1.0,1.0,10.0,,,,,,,
121,invariant,0.2,0.25,0.5,0,1,10,,,,,0.1259844471735952,0.14439169256744513,0.35351411194568966,0.4051650986727011,0.35637742007015033,2.3889827466440917e-06,4,1.0,1.0,2.0,,,,,,,
122,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14258298448059634,,0.4,0.3564574612014909,2.491076026415207e-06,4,,,,,,,,,,
123,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1537421066580745,,0.39999999999999997,0.38435526664518627,2.572750650232099e-06,4,,,,,,,,,,
124,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14700599205877635,,0.4,0.36751498014694084,1.8580976918342936e-06,4,,,,,,,,,,
125,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.13635300752509147,,0.4,0.3408825188127287,2.51149468236943e-06,4,,,,,,,,,,
126,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.13869927444347932,,0.4,0.3467481861086983,2.51149468236943e-06,4,,,,,,,,,,
127,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.13928553489323697,,0.4,0.34821383723309246,2.429820058552538e-06,4,,,,,,,,,,
128,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14112051866653108,,0.4,0.3528012966663277,2.491076026415207e-06,4,,,,,,,,,,
129,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14144901400352267,,0.4,0.3536225350088066,2.3073081228271996e-06,4,,,,,,,,,,
130,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1422544891436048,,0.4,0.35563622285901203,2.429820058552538e-06,4,,,,,,,,,,
131,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14057387040932462,,0.4,0.3514346760233116,1.8376790358800707e-06,4,,,,,,,,,,
132,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.13785181854675527,,0.4,0.34462954636688814,1.9806096275596317e-06,4,,,,,,,,,,
133,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1434539626689797,,0.4,0.35863490667244924,2.3277267787814227e-06,4,,,,,,,,,,
134,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14289424647196255,,0.4,0.35723561617990635,2.368564090689869e-06,4,,,,,,,,,,
135,invariant,0.2,0.25,0.5,0,1,10,,,,,0.1206008916228786,0.14536711141886566,0.33760369103959953,0.40693292321782226,0.35722622359816736,2.001028283513855e-06,4,1.0,1.0,6.0,,,,,,,
136,invariant,0.2,0.25,0.5,0,1,10,,,,,0.12117293508736866,0.1460161167519337,0.33768944939460727,0.40692339451171033,0.358829496463693,2.1031215632849696e-06,4,1.0,1.0,4.0,,,,,,,
137,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1467868590430756,,0.39999999999999997,0.366967147607689,2.756518553820106e-06,4,,,,,,,,,,
138,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1428023625201685,,0.4,0.35700590630042134,2.1643775311476386e-06,4,,,,,,,,,,
139,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14452684052743842,,0.4,0.36131710131859596,1.6130738203836176e-06,4,,,,,,,,,,
140,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14920222269321254,,0.4,0.3730055567330314,2.0827029073307465e-06,4,,,,,,,,,,
141,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14185379343915916,,0.4,0.35463448359789784,2.1643775311476386e-06,4,,,,,,,,,,
142,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14000157632023966,,0.4,0.35000394080059916,2.2256334990103075e-06,4,,,,,,,,,,
143,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.137188212228243,,0.4,0.3429705305706075,2.71568124191166e-06,4,,,,,,,,,,
144,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1410957712555146,,0.4,0.35273942813878645,2.286889466872977e-06,4,,,,,,,,,,
145,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14539888048593136,,0.4,0.36349720121482837,2.0214469394680776e-06,4,,,,,,,,,,
146,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14072603023349553,,0.4,0.35181507558373876,1.9193536596969628e-06,4,,,,,,,,,,
147,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14270949847288872,,0.4,0.3567737461822218,2.491076026415207e-06,4,,,,,,,,,,
148,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14442409385067673,,0.4,0.36106023462669184,2.1031215632849696e-06,4,,,,,,,,,,
149,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14026783559388273,,0.39999999999999997,0.35066958898470685,2.1643775311476386e-06,4,,,,,,,,,,
