round,defense,tau,alpha,alpha_dirichlet,seed,n_malicious_in_round,n_selected,tpr,fpr,youden_j,n_excluded,influence_malicious_mean,influence_benign_mean,trim_survival_malicious_mean,trim_survival_benign_mean,mask_keep_ratio,zero_sign_ratio,effective_trim_n,malicious_rank_l2_mean,malicious_rank_norm_mean,malicious_rank_cos_mean,flame_n_clusters,flame_n_noise,flame_max_cluster_size,flame_fallback_triggered,clip_rate_malicious,clip_rate_benign,cos_to_others_malicious_mean,cos_to_others_benign_mean,precision
1,flame,,,0.5,0,1,10,0.0,0.4444444444444444,-0.4444444444444444,4,1.0,0.5555555555555556,,,,,-1,8.0,8.0,8.0,1,4,6,False,0.0,0.6666666666666666,0.07663173266556392,0.07703611609718332,0.0
2,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.13078616914003066,0.0
3,flame,,,0.5,0,1,10,1.0,0.3333333333333333,0.6666666666666667,4,0.0,0.6666666666666666,,,,,-1,3.0,8.0,9.0,1,4,6,False,0.0,0.5555555555555556,0.0992722531784888,0.1508586741394256,0.25
4,flame,,,0.5,0,2,10,0.0,0.5,-0.5,4,1.0,0.5,,,,,-1,4.0,4.5,5.5,1,4,6,False,0.5,0.5,0.14606746851052543,0.14165533772699296,0.0
5,flame,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,1,2,8,False,,0.6,,0.12145133962573129,0.0
6,flame,,,0.5,0,2,10,0.0,0.5,-0.5,4,1.0,0.5,,,,,-1,9.5,7.5,1.5,1,4,6,False,0.0,0.625,0.13194675694046037,0.07077786830788071,0.0
7,flame,,,0.5,0,1,10,0.0,0.4444444444444444,-0.4444444444444444,4,1.0,0.5555555555555556,,,,,-1,3.0,4.0,4.0,1,4,6,False,1.0,0.4444444444444444,0.1634574935352824,0.15884883747374973,0.0
8,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.10477027678955855,0.0
9,flame,,,0.5,0,1,10,1.0,0.3333333333333333,0.6666666666666667,4,0.0,0.6666666666666666,,,,,-1,7.0,7.0,6.0,1,4,6,False,0.0,0.5555555555555556,0.054656807294162814,0.08026268408486824,0.25
10,flame,,,0.5,0,0,10,,0.3,,3,,0.7,,,,,-1,,,,1,3,7,False,,0.5,,0.10087048988868534,0.0
11,flame,,,0.5,0,1,10,1.0,0.3333333333333333,0.6666666666666667,4,0.0,0.6666666666666666,,,,,-1,1.0,6.0,10.0,1,4,6,False,0.0,0.5555555555555556,-0.03170069543857195,0.10714019762783218,0.25
12,flame,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,1,2,8,False,,0.5,,0.10512672575429827,0.0
13,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.6,,0.061396014885095565,0.0
14,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.11365283076284269,0.0
15,flame,,,0.5,0,1,10,1.0,0.3333333333333333,0.6666666666666667,4,0.0,0.6666666666666666,,,,,-1,4.0,10.0,9.0,1,4,6,False,0.0,0.5555555555555556,0.11974125953641573,0.2240583866873018,0.25
16,flame,,,0.5,0,2,10,0.0,0.5,-0.5,4,1.0,0.5,,,,,-1,8.0,6.0,3.5,1,4,6,False,0.5,0.5,0.2289525382222261,0.1697798086297384,0.0
17,flame,,,0.5,0,2,10,1.0,0.25,0.75,4,0.0,0.75,,,,,-1,7.5,9.0,6.5,1,4,6,False,0.0,0.625,0.020371489682550238,0.05558429477157535,0.5
18,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.14050910131664768,0.0
19,flame,,,0.5,0,1,10,0.0,0.3333333333333333,-0.3333333333333333,3,1.0,0.6666666666666666,,,,,-1,3.0,4.0,5.0,1,3,7,False,1.0,0.4444444444444444,0.09444655453141354,0.07696704130823571,0.0
20,flame,,,0.5,0,1,10,0.0,0.4444444444444444,-0.4444444444444444,4,1.0,0.5555555555555556,,,,,-1,7.0,5.0,2.0,1,4,6,False,1.0,0.4444444444444444,0.1478804000047084,0.0744492124089258,0.0
