signal,mean_rank,pooled_auc,n_malicious_observations,n_rounds_used,n_rounds_no_malicious,n_rounds_all_malicious,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10
l2_to_median,1.8517110266159695,0.9225011008366358,263,218,282,0,162,54,24,5,4,5,3,2,2,2
update_norm,1.9239543726235742,0.9141347424042272,263,218,282,0,158,57,21,7,4,5,2,5,1,3
cos_to_median,6.0418250950570345,0.4372523117569353,263,218,282,0,13,18,24,32,25,25,28,38,35,25
