run_id,bad_client_num,poison_rate,seed,client_id,is_malicious,asr_std_filtered,asr_unfiltered,n_eligible,n_total
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,10,False,0.936,0.936,250,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,11,False,0.7615062761506276,0.752,239,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,12,False,0.6895161290322581,0.688,248,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,13,False,0.6008230452674898,0.604,243,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,14,False,0.668918918918919,0.708,148,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,15,True,1.0,1.0,246,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,16,False,0.7966101694915254,0.804,236,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,17,True,1.0,0.996,216,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,18,False,0.5510204081632653,0.548,245,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,19,False,0.9865771812080537,0.992,149,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,20,False,0.6626016260162602,0.66,246,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,21,True,1.0,1.0,148,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,22,False,0.7349397590361446,0.732,249,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,23,True,0.992,0.992,250,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,24,False,0.9752066115702479,0.976,242,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,25,False,0.7698744769874477,0.76,239,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,26,True,0.9437751004016064,0.944,249,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,27,False,0.592,0.592,250,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,28,True,0.9958677685950413,0.996,242,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,29,False,0.592,0.592,250,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,30,False,0.868421052631579,0.872,228,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,31,True,1.0,1.0,206,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,32,False,0.49557522123893805,0.516,226,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,33,True,1.0,1.0,242,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,34,True,1.0,1.0,214,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,35,True,1.0,1.0,205,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,36,False,1.0,1.0,247,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,37,False,1.0,1.0,207,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,38,True,1.0,1.0,204,250
attack_a0.5_s0_e1_bad16_rho0p25_s0,16,0.25,0,39,True,1.0,1.0,231,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,0,False,0.6652719665271967,0.668,239,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,1,True,0.9919678714859438,0.992,249,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,2,False,0.6687898089171974,0.676,157,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,3,False,0.85,0.86,200,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,4,True,0.950207468879668,0.952,241,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,5,False,0.5173913043478261,0.508,230,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,6,True,0.9872340425531915,0.988,235,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,7,True,0.9364161849710982,0.952,173,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,8,False,0.03333333333333333,0.036,240,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,9,False,0.7800829875518672,0.776,241,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,10,False,0.028,0.028,250,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,11,False,0.7531380753138075,0.764,239,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,12,False,0.14516129032258066,0.144,248,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,13,False,0.26337448559670784,0.272,243,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,14,False,0.18243243243243243,0.308,148,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,15,True,1.0,1.0,246,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,16,False,0.06779661016949153,0.08,236,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,17,True,0.9861111111111112,0.988,216,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,18,False,0.21224489795918366,0.216,245,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,19,False,0.4899328859060403,0.58,149,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,20,False,0.2032520325203252,0.2,246,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,21,True,1.0,1.0,148,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,22,False,0.04819277108433735,0.048,249,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,23,True,0.996,0.996,250,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,24,False,0.3140495867768595,0.332,242,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,25,False,0.5313807531380753,0.532,239,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,26,True,1.0,1.0,249,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,27,False,0.212,0.212,250,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,28,True,0.9752066115702479,0.976,242,250
