bad_client_num,poison_rate,seed,asr,mta,acc_personalized,n_tail
1,0.1,0,0.3591529030151734,0.68955,0.7026315789473685,3
1,0.1,1,0.32454271617235236,0.6977000000000001,0.7087346024636059,3
1,0.1,2,0.49700684804709566,0.7037666666666667,0.7120380739081748,3
1,0.25,0,0.42944723039485505,0.6992833333333334,0.711832773422919,3
1,0.3,0,0.48019538961790426,0.6859333333333333,0.6977043673012319,3
1,0.5,0,0.5470950224747341,0.6904499999999999,0.702295632698768,3
1,0.5,1,,0.5540833333333333,0.5568309070548713,3
1,0.7,0,0.43669105808572306,0.6739,0.6888391190742814,3
1,0.9,0,0.11070311773865617,0.6782333333333334,0.6932064203060843,3
1,1.0,0,0.09641036252302453,0.6823,0.6955767077267637,3
2,0.1,0,0.8317596518445928,0.6825166666666665,0.6955020530048525,3
2,0.1,1,0.63299375925541,0.6981999999999999,0.7087905935050393,3
2,0.1,2,0.6965054625936734,0.7128333333333333,0.7237028742067936,3
2,0.25,0,0.6841138608234294,0.6849999999999999,0.6992347891004106,3
2,0.3,0,0.6543132502992616,0.6981166666666666,0.7110862262038075,3
2,0.5,0,0.708813258289847,0.6846166666666668,0.6976483762597985,3
2,0.5,1,,0.5579999999999999,0.556681597611049,3
2,0.7,0,0.7099976201779553,0.6772333333333332,0.6905188503172827,3
2,0.9,0,0.5736365961007359,0.6884166666666666,0.7034527808883911,3
2,1.0,0,0.044448911240296964,0.6828,0.6952407614781636,3
4,0.0,0,0.117667222494105,0.6761666666666666,0.6868047779022023,3
4,0.0,1,0.16249394659016278,0.7123499999999999,0.7186076894363569,3
4,0.0,2,0.11252645136952681,0.7115833333333333,0.7195222097797686,3
4,0.1,0,0.9687291383307068,0.6520666666666668,0.6608995893990295,3
4,0.1,1,0.830627100836332,0.699,0.7071481896229935,3
4,0.1,2,0.8378404252946777,0.6946333333333333,0.7059910414333705,3
4,0.25,0,0.6594715818182206,0.6817333333333333,0.6942889137737961,3
4,0.25,1,0.6881867050327148,0.7105,0.7176371780515117,3
4,0.25,2,0.7526583521117285,0.7057333333333333,0.7142963792459872,3
4,0.3,0,0.7478698613800008,0.6806500000000001,0.6951847704367301,3
4,0.3,1,0.6784947824742353,0.6983666666666668,0.7081373646883166,3
4,0.3,2,0.7226173213137748,0.7005666666666667,0.7104143337066069,3
4,0.5,0,0.5702805357025272,0.6872333333333334,0.6989921612541993,3
4,0.5,1,0.4180524168362366,0.66505,0.6681970884658455,3
4,0.5,2,0.4112089092055074,0.7042,0.7135498320268757,3
4,0.7,0,0.131586815060819,0.6685166666666666,0.6828854050018665,3
4,0.7,1,0.8751841411893677,0.70555,0.7134565136244868,3
4,0.7,2,0.4036761676567502,0.6967166666666667,0.7089399029488614,3
4,0.9,0,0.3056943365390647,0.68125,0.6934117207913401,3
4,0.9,1,0.7179202457142334,0.70275,0.7137551325121314,3
4,0.9,2,0.11438051098421931,0.69985,0.710488988428518,3
4,1.0,0,0.03684139123534683,0.6758833333333333,0.6863941769316909,3
4,1.0,1,0.17896391386768584,0.7011333333333334,0.7101530421799178,3
4,1.0,2,0.023767576732257063,0.7008833333333334,0.708790593505039,3
8,0.1,0,0.9447054618984239,0.6951833333333334,0.70852930197835,3
8,0.1,1,0.9707505613836056,0.6989833333333334,0.7085106382978724,3
8,0.1,2,0.9803208402884594,0.7137833333333333,0.7225270623366927,3
8,0.25,0,0.9378757150020655,0.6787333333333333,0.6873646883165359,3
8,0.3,0,0.6637394989312512,0.6505666666666666,0.6663120567375886,3
8,0.5,0,0.6337804726590673,0.6730666666666667,0.6884098544232922,3
8,0.5,1,,0.5067499999999999,0.5000746547219111,3
8,0.7,0,0.7686806041120079,0.6772333333333335,0.6898842851810377,3
8,0.9,0,0.40607719507793066,0.6765666666666665,0.6882232176185145,3
8,1.0,0,0.06253514857855226,0.6663166666666667,0.6818402388951101,3
16,0.1,0,0.9996336996336996,0.6818999999999998,0.6952034341172079,3
16,0.1,1,0.9960604139657846,0.7047833333333333,0.712541993281075,3
16,0.1,2,1.0,0.7164666666666667,0.7232176185143709,3
16,0.25,0,0.9313828656434343,0.6957333333333334,0.707204180664427,3
16,0.3,0,0.7193790744077456,0.6783333333333333,0.6890257558790592,3
16,0.5,0,0.04446876275759743,0.6829500000000001,0.6923292273236283,3
16,0.7,0,0.9207620707138463,0.6771833333333332,0.6855916386711459,3
16,0.9,0,0.712767345119318,0.6839666666666666,0.6962112728630085,3
16,1.0,0,0.0322038874212028,0.6766166666666668,0.6888764464352372,3
32,0.1,0,1.0,0.6839666666666666,0.6974804031354983,3
32,0.1,1,0.9963921383276223,0.6930333333333333,0.698936170212766,3
32,0.1,2,0.9982638888888888,0.7067833333333332,0.7147256438969766,3
32,0.25,0,0.9568031116675592,0.6711,0.6860955580440463,3
32,0.3,0,0.996808510638298,0.6727500000000001,0.6859835759611794,3
32,0.5,0,0.39820882370819416,0.63135,0.6434303844718178,3
32,0.7,0,0.7765354286293787,0.6671999999999999,0.6769316909294513,3
32,0.9,0,0.8302109702715633,0.6561499999999999,0.6688129899216125,3
32,1.0,0,0.0359463522241285,0.6026166666666667,0.6163493840985442,3
