run_id,round_from,round_to,kind,phase,span_rounds,scope,group,n_params,l2_delta,energy,energy_share,mean_abs_delta,l2_base,relative_displacement,cos_theta_delta
attack_a0.5_s0_e1b_persist_s0,50,100,weight,mixed,50,layer,layer3.1.conv1,589824,1.2032133293173797,1.4477223158470134,0.051017731260269164,0.0012039674467424902,9.292800861199376,0.12947800639322932,0.04037752911950713
attack_a0.5_s0_e1b_persist_s0,50,100,weight,mixed,50,layer,layer3.1.conv2,589824,1.0932576009243127,1.1952121819787838,0.04211927469220361,0.001071045900887301,9.299965992827417,0.11755501060622003,0.05103981940528009
attack_a0.5_s0_e1b_persist_s0,50,100,bn_affine,mixed,50,layer,layer4.0.bn1,1024,0.0,0.0,0.0,0.0,22.627416997969522,0.0,nan
attack_a0.5_s0_e1b_persist_s0,50,100,bn_affine,mixed,50,layer,layer4.0.bn2,1024,0.0,0.0,0.0,0.0,22.627416997969522,0.0,nan
attack_a0.5_s0_e1b_persist_s0,50,100,weight,mixed,50,layer,layer4.0.conv1,1179648,1.1535173433305166,1.330602261364293,0.04689042079514614,0.000771878168647912,13.100461534581907,0.08805165682793102,0.032025968159642995
attack_a0.5_s0_e1b_persist_s0,50,100,weight,mixed,50,layer,layer4.0.conv2,2359296,1.3655526072323108,1.8647339231189615,0.06571321939313383,0.0006539209306856104,13.15106238972549,0.10383591581917928,0.04315612102597243
attack_a0.5_s0_e1b_persist_s0,50,100,weight,mixed,50,layer,layer4.0.shortcut.0,131072,0.8684185069153947,0.7541507031531633,0.026576269138118974,0.001787288720208982,13.134834372247386,0.06611568005381763,0.06812245898418252
attack_a0.5_s0_e1b_persist_s0,50,100,bn_affine,mixed,50,layer,layer4.0.shortcut.1,1024,0.0,0.0,0.0,0.0,22.627416997969522,0.0,nan
attack_a0.5_s0_e1b_persist_s0,50,100,bn_affine,mixed,50,layer,layer4.1.bn1,1024,0.0,0.0,0.0,0.0,22.627416997969522,0.0,nan
attack_a0.5_s0_e1b_persist_s0,50,100,bn_affine,mixed,50,layer,layer4.1.bn2,1024,0.0,0.0,0.0,0.0,22.627416997969522,0.0,nan
attack_a0.5_s0_e1b_persist_s0,50,100,weight,mixed,50,layer,layer4.1.conv1,2359296,1.5894024073916617,2.5262000126224096,0.08902328294791446,0.0007345485297435494,13.214572824490478,0.12027648782153844,0.060751497495122514
attack_a0.5_s0_e1b_persist_s0,50,100,weight,mixed,50,layer,layer4.1.conv2,2359296,1.1442821759845054,1.3093816982758346,0.04614260819808388,0.000558156830339655,13.236954166377785,0.08644603294699112,0.07718880813957847
attack_a0.5_s0_e1b_persist_s0,50,100,bias+weight,mixed,50,layer,linear,5130,1.2152880104614123,1.4769249483712579,0.052046831966879904,0.01366388934904932,2.9022785495762973,0.41873582762716965,0.8438941333122402
attack_a0.5_s0_e1b_persist_s0,50,100,bias,mixed,50,kind,bias,10,0.051760653916455755,0.002679165293859106,9.441377912585012e-05,0.013580193254165351,0.09102975121843887,0.5686124945266376,0.44801314625001765
attack_a0.5_s0_e1b_persist_s0,50,100,bn_affine,mixed,50,kind,bn_affine,9600,0.0,0.0,0.0,0.0,69.2820323027551,0.0,nan
attack_a0.5_s0_e1b_persist_s0,50,100,bn_buffer,mixed,50,kind,bn_buffer,9600,0.0,0.0,0.0,0.0,69.2820323027551,0.0,nan
attack_a0.5_s0_e1b_persist_s0,50,100,weight,mixed,50,kind,weight,11164352,5.326740756013617,28.37416708177652,0.9999055862208761,0.0009750889791055428,40.624697560855836,0.1311207486045688,0.08212895380012998
