run_id,round_from,round_to,kind,phase,span_rounds,bin,x_low,x_high,count,x_mean,y_mean,y_median,y_std
attack_a0.5_s0_e1b_persist_s0,50,100,segment,mixed,50,0,0.0,0.00169954450102523,1117397,0.0008458048977010405,0.0008403356394128223,0.0005572608060901985,0.0009859045355038883
attack_a0.5_s0_e1b_persist_s0,50,100,segment,mixed,50,1,0.00169954450102523,0.003408066788688302,1117396,0.002553779615569278,0.0008431872265742915,0.0005600667209364474,0.0009854820251884778
attack_a0.5_s0_e1b_persist_s0,50,100,segment,mixed,50,2,0.003408066788688302,0.00511750765144825,1117395,0.004262005614002485,0.0008437362468749513,0.0005599327851086855,0.0009868243687483683
attack_a0.5_s0_e1b_persist_s0,50,100,segment,mixed,50,3,0.00511750765144825,0.006823718734085561,1117397,0.005970799620231044,0.0008461110183577218,0.0005612708628177643,0.000992794362489822
attack_a0.5_s0_e1b_persist_s0,50,100,segment,mixed,50,4,0.006823718734085561,0.008532117586582899,1117396,0.007678592081822288,0.000843790327282398,0.0005592592060565948,0.0009897814056636022
attack_a0.5_s0_e1b_persist_s0,50,100,segment,mixed,50,5,0.008532117586582899,0.010238565504550934,1117394,0.009384800383318787,0.0008429934294736729,0.0005585942417383194,0.0009890558964680551
attack_a0.5_s0_e1b_persist_s0,50,100,segment,mixed,50,6,0.010238565504550934,0.011954044084995988,1117398,0.011095261192850217,0.0008422861045790542,0.0005566799081861973,0.0009936382871599024
attack_a0.5_s0_e1b_persist_s0,50,100,segment,mixed,50,7,0.011954044084995988,0.013741823658347134,1117396,0.012830992698910654,0.0008423066967988,0.0005547245964407921,0.0009994677170204688
attack_a0.5_s0_e1b_persist_s0,50,100,segment,mixed,50,8,0.013741823658347134,0.017128968425095082,1117396,0.01507337393571704,0.0010486966350828379,0.0006755921058356762,0.001219836531968164
attack_a0.5_s0_e1b_persist_s0,50,100,segment,mixed,50,9,0.017128968425095082,1.0,1117397,0.02907690187201953,0.0019491811395051092,0.0012647584080696106,0.0023399098150239453
attack_a0.5_s0_e1b_persist_s0,100,150,segment,mixed,50,0,0.0,0.001700400037225336,1117397,0.0008462800756761003,0.0008423631231724923,0.0005430227611213923,0.0009548734143898361
attack_a0.5_s0_e1b_persist_s0,100,150,segment,mixed,50,1,0.001700400037225336,0.0034094212576746942,1117396,0.0025558154905505424,0.0008469694181318897,0.0005456644576042891,0.0009568267309850198
attack_a0.5_s0_e1b_persist_s0,100,150,segment,mixed,50,2,0.0034094212576746942,0.0051227178890258076,1117396,0.0042656179665239895,0.0008456128407470467,0.0005457599181681871,0.0009580021783917363
attack_a0.5_s0_e1b_persist_s0,100,150,segment,mixed,50,3,0.0051227178890258076,0.006833723466843367,1117396,0.0059779574247052405,0.0008447713719033008,0.0005450474563986063,0.000955419999645299
attack_a0.5_s0_e1b_persist_s0,100,150,segment,mixed,50,4,0.006833723466843367,0.00854280823841691,1117396,0.007688750063756589,0.0008441728898087609,0.0005450029857456684,0.0009540821435192363
attack_a0.5_s0_e1b_persist_s0,100,150,segment,mixed,50,5,0.00854280823841691,0.010258889757096767,1117395,0.009399662940985272,0.0008444878194724933,0.0005440032109618187,0.0009576252805130853
attack_a0.5_s0_e1b_persist_s0,100,150,segment,mixed,50,6,0.010258889757096767,0.011998193338513374,1117396,0.011123930158822057,0.0008430410768103884,0.0005418937653303146,0.0009586453435575332
attack_a0.5_s0_e1b_persist_s0,100,150,segment,mixed,50,7,0.011998193338513374,0.013901981338858605,1117397,0.012920349166203002,0.000857324934720681,0.0005431082099676132,0.000983908288872472
attack_a0.5_s0_e1b_persist_s0,100,150,segment,mixed,50,8,0.013901981338858605,0.017359130829572682,1117396,0.015331664655646388,0.001102834987100494,0.0007211277261376381,0.001175009337843602
attack_a0.5_s0_e1b_persist_s0,100,150,segment,mixed,50,9,0.017359130829572682,1.0,1117397,0.02974347995668095,0.0019086094027094872,0.0013928934931755066,0.0019121204202871987
attack_a0.5_s0_e1b_persist_s0,150,200,segment,attack,50,0,0.0,0.0017036758828908205,1117397,0.0008480641839131134,0.0008186930041542683,0.0005009360029362142,0.0009559668588912979
attack_a0.5_s0_e1b_persist_s0,150,200,segment,attack,50,1,0.0017036758828908205,0.0034162467811256654,1117396,0.0025598303070052267,0.0008231018924338327,0.0005045034340582788,0.0009581969286429094
