alpha,seed,auc_max_v,poison_ratio,n_clients,n_malicious
0.05,0,0.29777777777777775,0.2,100,10
0.1,0,0.19666666666666666,0.2,100,10
0.5,0,0.25222222222222224,0.2,100,10
